datacolumns 14
datarows 107
time	bicfemlh_r	bicfemsh_r	gaslat_r	gasmed_r	gra_r	recfem_r	sar_r	semimem_r	semiten_r	tfl_r	vasint_r	vaslat_r	vasmed_r
2.908	-0.0428138000194	-0.0310680856103	-0.0135954279742	-0.0142989996398	-0.0321500911074	0.0489070642691	-0.0111060653073	-0.0433248555272	-0.0498882242387	0.0103030218747	0.0433366905365	0.0430362306433	0.0421191003954
2.912	-0.0413898042568	-0.029577155659	-0.014067072974	-0.0145549304368	-0.0314911682519	0.0495458105886	-0.0105368079928	-0.0427111643642	-0.0494006364231	0.0104759130263	0.043867356163	0.0437688892476	0.0427441547774
2.916	-0.0399416764226	-0.0281063577167	-0.01458098914	-0.0148565696798	-0.0308058673345	0.0501700536172	-0.0100040697117	-0.0420559341072	-0.0488616650218	0.0105727386983	0.0444108839367	0.0445213242563	0.0433865983675
2.92	-0.0384777237308	-0.0266610066832	-0.0151223236302	-0.0151910267229	-0.0300997206664	0.0507740267988	-0.00950555995809	-0.0413646275241	-0.0482766761387	0.0106033708271	0.0449620450784	0.0452885842682	0.0440413004965
2.924	-0.0370041479152	-0.0252438316164	-0.0156719218762	-0.0155411460097	-0.0293749963182	0.0512698976869	-0.00903507285686	-0.0406396849507	-0.0476480100607	0.0105825821387	0.0454374759655	0.0459672963579	0.0446228338703
2.928	-0.0355409461214	-0.0238693883479	-0.0162016911236	-0.0158827287869	-0.028638730927	0.0515684982202	-0.00858765059783	-0.0398893949105	-0.0469830775427	0.0105302531342	0.0457545371621	0.0464366876818	0.0450400654803
2.932	-0.0341318111532	-0.0225722164183	-0.01668798347	-0.01619734987	-0.0279152221631	0.0517275898499	-0.00817037334397	-0.0391407681383	-0.0463079130259	0.0104606491894	0.0459675509559	0.0467421096672	0.0453392484543
2.936	-0.032753616944	-0.0213261463163	-0.0171340590972	-0.0164848127691	-0.0271970761537	0.0518059496319	-0.00777168545905	-0.0383861543854	-0.0456175611741	0.0103828350966	0.0461324011484	0.0469402195839	0.0455742856015
2.94	-0.0314144866449	-0.0201344150934	-0.0175346135811	-0.0167400645812	-0.0264910398582	0.0518452626912	-0.00739038448229	-0.0376334824966	-0.0449207131385	0.0103047958287	0.0462870249414	0.0470690476596	0.0457804176987
2.944	-0.0301284132812	-0.0189987222916	-0.0178675706912	-0.0169431127863	-0.0258042290179	0.0518577823875	-0.00701752492122	-0.0368920951156	-0.0442272053784	0.0102480848328	0.0464334874498	0.0471313340129	0.0459578559643
2.948	-0.028896694266	-0.0178761996513	-0.0180359185254	-0.0170043704203	-0.0251249984333	0.0517493764531	-0.00659302727406	-0.0361548320588	-0.0435306983604	0.010301138699	0.04644193919	0.0469847324639	0.0459736649575
2.952	-0.0277431753349	-0.0167920184198	-0.018068796148	-0.0169510488222	-0.0244722391067	0.0515560637695	-0.00613574643403	-0.0354403468866	-0.042850525688	0.0104412477458	0.0463430409953	0.0466690886867	0.0458586804673
2.956	-0.0266852481324	-0.0157727956238	-0.0180129678583	-0.016825981788	-0.0238594050122	0.0513266376518	-0.00567315428312	-0.0347661989817	-0.0422049249643	0.010631106613	0.0461878672526	0.0462520836779	0.0456669660582
2.96	-0.0257369769336	-0.0148410543141	-0.0179056251721	-0.0166632272824	-0.0232994539236	0.051095294986	-0.00522815796866	-0.0341473678327	-0.0416096013287	0.0108411954178	0.0460129945889	0.0457894947031	0.0454397893924
2.964	-0.0249077470853	-0.0140131293396	-0.0177749802992	-0.0164884649056	-0.0228015191776	0.0508832722867	-0.00481823846158	-0.0335951930605	-0.0410766098421	0.0110496848903	0.0458423112062	0.045324692367	0.0452067690451
2.968	-0.0242018168172	-0.0132990613192	-0.0176411086764	-0.0163197592874	-0.0223715547902	0.0507015079243	-0.00445550625604	-0.0331169288263	-0.0406138817793	0.0112417595403	0.0456895859598	0.0448892494648	0.0449876992394
2.972	-0.0236178004227	-0.0127015786224	-0.017516900046	-0.0161683529958	-0.0220103853898	0.0505532824079	-0.00414640184183	-0.0327152198915	-0.0402246667231	0.0114089070711	0.0455609740044	0.0445033348731	0.0447941910653
2.976	-0.0231499178653	-0.0122177548845	-0.0174096221397	-0.0160401853688	-0.0217153795449	0.0504372558033	-0.00389283407609	-0.032388904974	-0.0399083221762	0.0115473821993	0.0454577733749	0.0441778502264	0.0446318999742
2.98	-0.0227893101986	-0.0118404757079	-0.0173224782064	-0.0159373800228	-0.0214812234352	0.0503497792268	-0.00369329709688	-0.0321339336141	-0.039661229841	0.0116567496151	0.0453785521616	0.0439165905075	0.044502386441
