datacolumns 35
datarows 107
time	addbrev_r	addlong_r	addmag1_r	addmag2_r	addmag3_r	bicfemlh_r	bicfemsh_r	gaslat_r	gasmed_r	gmax1_r	gmax2_r	gmax3_r	gmed1_r	gmed2_r	gmed3_r	gmin1_r	gmin2_r	gmin3_r	gra_r	illiacus_r	perbrev_r	perlong_r	perter_r	psoas_r	recfem_r	sar_r	semimem_r	semiten_r	sol_r	tfl_r	tibant_r	vasint_r	vaslat_r	vasmed_r
2.908	0.130087158834	0.184988106802	0.12714798352	0.216202362604	0.347790501363	0.45787897604	0.239032908708	0.419713208423	0.427233119625	0.224438458724	0.239516259131	0.282102716912	0.132547443957	0.146168598226	0.125458236391	0.08757885514	0.088811005509	0.0938173783215	0.428930748532	0.161406373339	0.212819808813	0.399455610321	0.204034218456	0.212254897137	0.374581694731	0.484350473072	0.428633115396	0.484584710054	0.267782144314	0.478317876291	0.344271924473	0.200879728461	0.217722218829	0.192698551103
2.912	0.129877000585	0.185206622688	0.12640948112	0.215278945639	0.346967910044	0.45838355572	0.24019470792	0.41984531771	0.427434860949	0.223903497381	0.238809483804	0.280947226275	0.132823422998	0.145996887748	0.124963814402	0.0879072231437	0.0889951062934	0.0937756812786	0.429776864059	0.162285240311	0.212977878074	0.399584510828	0.204531494611	0.2130511481	0.373645827477	0.486165445982	0.429279892581	0.485386824063	0.267372683087	0.479346231822	0.344402879666	0.199209165865	0.216059324995	0.191072848929
2.916	0.129709183094	0.185497468085	0.125694712202	0.214370033445	0.346168069305	0.458790385013	0.241289147211	0.42003807446	0.427688182491	0.223329207213	0.238064009891	0.279763128212	0.133090229622	0.145793995875	0.124424510141	0.0882338617692	0.0891665994845	0.0937089170034	0.430637907123	0.163186954515	0.213148547268	0.399731270589	0.205009752391	0.213875773248	0.372726002831	0.487962255117	0.42986436352	0.486131149798	0.267011859119	0.480375452893	0.344492604556	0.197534275686	0.214384237978	0.18943872234
2.92	0.129587505455	0.185862288912	0.125011323079	0.213483936376	0.345398628794	0.459099835886	0.242313495807	0.420284349493	0.427986629572	0.222717623941	0.237283340297	0.278557620981	0.133344570782	0.145558820355	0.123841141709	0.0885553455017	0.089322719046	0.0936154324116	0.431513754957	0.164105948612	0.213332835468	0.399896318146	0.205473635016	0.214723663451	0.371826050929	0.489731375862	0.430384590063	0.486815010712	0.26669407063	0.481399123603	0.344544258964	0.195862700966	0.212704524003	0.187803546983
2.924	0.129516083617	0.186303038642	0.124367287446	0.21262927538	0.34466748919	0.459311506292	0.243264643971	0.420581773956	0.4283291919	0.222070874498	0.236470985634	0.277338179565	0.133583256613	0.145290270596	0.123214470597	0.088868281554	0.0894606953728	0.0934935238044	0.43240382015	0.165037002438	0.213538481931	0.40008776995	0.205930447663	0.215590074604	0.370953720238	0.491463011613	0.430837185036	0.487433961619	0.266420547135	0.482411086905	0.344551969233	0.194205677807	0.211031693421	0.186178328155
2.928	0.12950550685	0.186826440305	0.123780105832	0.211823603082	0.343989958558	0.459418501727	0.244130887397	0.420964878654	0.428751415442	0.221391950046	0.235632736959	0.276120727565	0.13379698921	0.144984707576	0.122545489143	0.089163245107	0.0895725909512	0.0933381646274	0.433304533132	0.165971318753	0.213791020551	0.400336561864	0.206371002183	0.216467862591	0.37013668413	0.493136315717	0.431208498639	0.487971709858	0.266239342478	0.48339646284	0.344469972762	0.192596983446	0.209401478402	0.184596587358
2.932	0.129571019585	0.187442112233	0.123274602666	0.211091778114	0.343387499648	0.459414253394	0.244897635685	0.421488602707	0.429309907006	0.220685573837	0.234776961481	0.2749286432	0.133972869446	0.144637695918	0.121836480453	0.0894270125398	0.089647406035	0.093142713007	0.434212605312	0.166896965006	0.214131415747	0.400691782433	0.20677994983	0.217347577254	0.36941147317	0.494722305015	0.431481151923	0.488407187476	0.266226656496	0.484333409954	0.344225828772	0.191082549332	0.207862846395	0.183104293508
2.936	0.1296938676	0.188127746484	0.122832633224	0.210420147643	0.342848201145	0.459326955129	0.245587949217	0.42203632908	0.429887826328	0.219959806492	0.233909376052	0.273755612845	0.134124891588	0.144260606377	0.121096375811	0.0896716743749	0.0896976424546	0.0929184053184	0.435129606232	0.167812551573	0.214489611468	0.401067474846	0.207178261992	0.218224736283	0.368748069029	0.496234070585	0.43168453245	0.488771669109	0.266250895524	0.485231433851	0.343946728258	0.18963426238	0.206389525053	0.181674625742
2.94	0.129869192733	0.188873920152	0.122453578288	0.209810330943	0.342372894076	0.459166217598	0.246206067818	0.42257851761	0.430456007132	0.219221080864	0.233036664987	0.272607769218	0.134254528807	0.143857689926	0.120331356248	0.0898975346181	0.0897250039399	0.0926684568681	0.436051759894	0.168712741696	0.214848245638	0.401443018799	0.207567406295	0.219093363797	0.368146440787	0.497667243471	0.431824232936	0.489069759094	0.266284876284	0.486087066907	0.343660861098	0.188256512495	0.204987925678	0.18031270713
2.944	0.130095828195	0.189674841761	0.1221411031	0.209267732187	0.34196564619	0.458938657981	0.246752901274	0.423104446107	0.431004119912	0.218475475083	0.232165615356	0.27149437227	0.134360660147	0.143431728784	0.11954699789	0.0901024329191	0.0897288778874	0.092394328687	0.436975323415	0.169591648612	0.215200250866	0.401810818207	0.207942593015	0.219947589561	0.367612986994	0.49901363421	0.431901122501	0.489300702835	0.26632465702	0.486893960972	0.34337562865	0.186960978606	0.203671552647	0.179030849901
