datacolumns 2
datarows 107
time	R_ankle_fe
2.908	2.12425318067
2.912	1.22857435622
2.916	0.342516473062
2.92	-0.51995946533
2.924	-1.3473302279
2.928	-2.12850312326
2.932	-2.85283916478
2.936	-3.50873190081
2.94	-4.083022513
2.944	-4.5432750395
2.948	-4.8733294575
2.952	-5.09088403307
2.956	-5.18398476219
2.96	-5.141509587
2.964	-4.95900499551
2.968	-4.64013951193
2.972	-4.19713358866
2.976	-3.64986535479
2.98	-3.0236101757
2.984	-2.3458207863
2.988	-1.64288964414
2.992	-4.62202544637
2.996	-7.51638529085
3	-11.5951893801
3.004	-16.7519695949
3.008	-22.8651971372
3.012	-29.5250848091
3.016	-35.9166623848
3.02	-41.2107087178
3.024	-45.3316728109
3.028	-49.3467533301
3.032	-54.7840916312
3.036	-61.7006309991
3.04	-69.4272667804
3.044	-77.5214499979
3.048	-84.9015474072
3.052	-90.9413521581
3.056	-95.6485151815
3.06	-99.1826245651
3.064	-101.919092074
3.068	-104.332309452
3.072	-106.741619975
3.076	-109.106358918
3.08	-111.327480285
3.084	-113.559076633
3.088	-115.989271138
3.092	-118.707851559
3.096	-121.742592825
3.1	-125.014410348
3.104	-128.409238775
3.108	-131.885931493
3.112	-135.372805908
3.116	-138.754968924
3.12	-141.911004483
3.124	-144.734201415
3.128	-147.168713389
3.132	-149.169010755
3.136	-150.68052612
3.14	-151.66660324
3.144	-152.116171474
3.148	-152.020004878
3.152	-151.379796723
3.156	-150.210781647
3.16	-148.526904944
3.164	-146.341705798
3.168	-143.64515338
3.172	-140.42256338
3.176	-136.517393851
3.18	-132.158120585
3.184	-127.187033585
3.188	-121.571848792
3.192	-115.242824812
3.196	-108.073482234
3.2	-100.199336936
3.204	-91.6807115877
3.208	-82.6149255632
3.212	-73.1461837666
3.216	-63.3645069732
3.22	-53.4468190045
3.224	-43.8176093724
3.228	-34.7478430451
3.232	-26.6072255553
3.236	-19.4910310015
3.24	-13.555611246
3.244	-8.9217945956
3.248	-5.56782305727
3.252	-3.34105480197
3.256	0.263792652966
3.26	-0.851179780893
3.264	-1.81978558778
3.268	-2.57225031903
3.272	-3.06126840444
3.276	-3.26689148362
3.28	-3.19745510608
3.284	-2.88679032552
3.288	-2.38809514019
3.292	-1.76608876412
3.296	-1.08440276469
3.3	-0.410350601786
3.304	0.203317894195
3.308	0.717435272338
3.312	1.1029490038
3.316	1.33952431235
3.32	1.41652540916
3.324	1.33691007402
3.328	1.1224064646
3.332	0.816694842857
