datacolumns 8
datarows 107
time	gaslat_r	gasmed_r	perbrev_r	perlong_r	perter_r	sol_r	tibant_r
2.908	-0.0383716598919	-0.03700070606	-0.00797963118555	-0.0121995526432	0.021106760744	-0.0400318641896	0.0297477616785
2.912	-0.0380350711567	-0.0366646298485	-0.00814878634297	-0.0123157677957	0.0209703820371	-0.0397351677514	0.0294627276549
2.916	-0.0377182297992	-0.0363483765162	-0.0083152703118	-0.0124277838507	0.0208434976667	-0.039453343402	0.0291985112904
2.92	-0.0374188562386	-0.036049628199	-0.0084796590226	-0.0125358839005	0.020724980338	-0.039184697856	0.0289521363891
2.924	-0.0371367300138	-0.0357680843996	-0.00864470771195	-0.0126415254556	0.0206157193179	-0.0389289487529	0.0287229143359
2.928	-0.0369006796529	-0.0355321880944	-0.00881187189191	-0.0127442415415	0.0205335986895	-0.0387104568423	0.0285353085931
2.932	-0.036757948817	-0.035388510024	-0.0089816156566	-0.01284207744	0.0205077357861	-0.0385695102826	0.0284281068806
2.936	-0.0366329181225	-0.035262434374	-0.00914338017831	-0.0129314180879	0.0204908706839	-0.0384426962932	0.0283348675681
2.94	-0.0365125033158	-0.0351410319041	-0.0092949274621	-0.0130120740468	0.0204737086366	-0.0383195812165	0.0282430939253
2.944	-0.0363966156351	-0.0350242463956	-0.00943487201234	-0.0130838935304	0.0204554834177	-0.038200441578	0.0281526062596
2.948	-0.0362873547231	-0.0349141954357	-0.00956127467463	-0.0131464851175	0.0204365418455	-0.0380875841384	0.0280652271471
2.952	-0.0361890466923	-0.0348152266693	-0.00967047571757	-0.0131987423703	0.0204179559552	-0.0379856139419	0.0279848262955
2.956	-0.0361031053341	-0.0347287479388	-0.00976252634169	-0.0132414253885	0.0204004733898	-0.0378961419329	0.0279131146866
2.96	-0.0360320587485	-0.0346572862376	-0.00983628333087	-0.0132746846903	0.0203851292	-0.0378219453282	0.0278528022599
2.964	-0.0359775949905	-0.0346025224887	-0.00989142304338	-0.0132989812073	0.0203728089126	-0.0377649253271	0.0278059233105
2.968	-0.0359417914504	-0.034566530673	-0.00992701068441	-0.0133143971632	0.0203644380279	-0.0377273765832	0.0277747971382
2.972	-0.0359255169835	-0.0345501733824	-0.00994299596265	-0.0133212536891	0.0203605519781	-0.0377102963759	0.027760567941
2.976	-0.0359293307581	-0.0345540075339	-0.00993920317632	-0.0133196338265	0.0203614409837	-0.0377143125293	0.0277639094465
2.98	-0.0359531571644	-0.0345779583791	-0.00991561547734	-0.0133094921543	0.0203670488073	-0.0377393358455	0.0277847104002
2.984	-0.0359968039559	-0.0346218402874	-0.00987186019697	-0.0132904308161	0.0203770963631	-0.0377851038154	0.0278225279009
2.988	-0.0360598892166	-0.0346852827285	-0.00980729054573	-0.0132617302269	0.0203910824492	-0.0378511059315	0.0278765435065
2.992	-0.0361429169023	-0.0347688111435	-0.00971987082009	-0.013221824145	0.0204085420943	-0.0379377048105	0.0279464981248
2.996	-0.0362476576732	-0.0348742286714	-0.0096057166641	-0.01316796705	0.0204291468443	-0.0380464858132	0.0280329623087
3	-0.0363816368566	-0.0350090690947	-0.00945756953749	-0.0130951010729	0.0204550518174	-0.0381841774177	0.0281410192868
3.004	-0.0372740755138	-0.0358943716993	-0.00925246301142	-0.012956421139	0.0209569335864	-0.0389611474399	0.0289107765931
3.008	-0.03856467111	-0.0371764907049	-0.00900645212322	-0.0127675440375	0.0217515893775	-0.0400509485433	0.0300959541755
3.012	-0.0398773691803	-0.0384852823431	-0.00872780381014	-0.012543319375	0.0226314159201	-0.0411230664211	0.0314144568092
3.016	-0.0411080925855	-0.0397185631903	-0.0084212607824	-0.012286886016	0.0235525425056	-0.0420822941373	0.0328041244681
3.02	-0.0421660517829	-0.0407863534895	-0.00809652209764	-0.0120063005499	0.0244654234425	-0.0428519850194	0.0341932615535
3.024	-0.0429942129646	-0.0416310667154	-0.00776707859169	-0.01171373483	0.0253242199891	-0.0433918197042	0.035513136397
3.028	-0.0435793617734	-0.0422378696046	-0.00744682412348	-0.0114222712408	0.0260988926597	-0.0437030478519	0.0367138789761
3.032	-0.0439410782733	-0.0426241128667	-0.00714872223609	-0.0111448041854	0.0267726712589	-0.0438166956207	0.0377618369015
3.036	-0.0441207953419	-0.0428289832488	-0.0068824449952	-0.0108915094421	0.0273439719556	-0.0437807036409	0.0386432650748
3.04	-0.0441671742102	-0.0428993301642	-0.00665327590623	-0.0106685798211	0.027822648815	-0.0436454998893	0.0393612924819
3.044	-0.0441258272247	-0.042879624537	-0.00646160628918	-0.0104778167785	0.0282233265634	-0.0434548822231	0.0399315288645
3.048	-0.0440325239185	-0.0428051497348	-0.00630448444422	-0.0103176310011	0.0285620989869	-0.0432405354746	0.040376203041
3.052	-0.0439081776687	-0.0426968668688	-0.00617765620266	-0.010184079715	0.0288602147643	-0.0430177299591	0.0407186435766
3.056	-0.0437652921742	-0.0425677073867	-0.0060745440321	-0.0100713858235	0.0291332827372	-0.0427934009364	0.0409819892983
3.06	-0.0436089627549	-0.0424234327781	-0.00598765423907	-0.00997284661566	0.0293937778604	-0.042567294486	0.0411877589229
3.064	-0.0434390925285	-0.0422646653979	-0.00590988065334	-0.00988197874456	0.0296516727197	-0.0423347173715	0.0413535655637
