datacolumns 17
datarows 132
time	addmag_r	bicfemlh_r	gaslat_r	gasmed_r	gmax_r	gmed_r	gra_r	perlong_r	recfem_r	sar_r	semimem_r	sol_r	tfl_r	tibant_r	vaslat_r	vasmed_r
2.676 0.225645 0.178978 0.027706 0.203078 0.033314 0.189249 0.065377 0.079648 0.006084 0.007017 0.368157 0.125845 0.017927 0.042768 0.011632 0.000888
2.68 0.250301 0.195809 0.033137 0.232283 0.034456 0.169852 0.078553 0.081945 0.006081 0.007419 0.395715 0.136221 0.015962 0.050507 0.012535 0.00063
2.684 0.276173 0.212852 0.039201 0.262893 0.035586 0.150143 0.092993 0.083548 0.006062 0.007916 0.422592 0.145185 0.014102 0.059228 0.013643 0.000495
2.688 0.303174 0.229868 0.045908 0.294587 0.036705 0.130757 0.108547 0.084549 0.006031 0.008511 0.448478 0.152578 0.012377 0.069018 0.014984 0.000542
2.692 0.331034 0.246497 0.053287 0.327063 0.037829 0.112223 0.124985 0.085079 0.005992 0.009201 0.472972 0.158596 0.010808 0.079975 0.016578 0.000833
2.696 0.359176 0.262374 0.061367 0.360047 0.038997 0.094945 0.142019 0.085298 0.005944 0.009977 0.495392 0.16362 0.009412 0.092161 0.018434 0.001436
2.7 0.386736 0.277217 0.070151 0.393095 0.040243 0.079214 0.159266 0.085437 0.005883 0.01082 0.514842 0.167978 0.008197 0.10556 0.020556 0.002428
2.704 0.412758 0.290693 0.079608 0.425518 0.041644 0.065234 0.176264 0.085745 0.005808 0.011705 0.530297 0.171922 0.007168 0.120078 0.022956 0.003893
2.708 0.436311 0.30234 0.089676 0.456425 0.04329 0.053146 0.192502 0.086424 0.005713 0.012593 0.541025 0.175564 0.006322 0.135543 0.025665 0.005918
2.712 0.456734 0.311611 0.100286 0.484783 0.045289 0.043058 0.207385 0.08762 0.005598 0.013452 0.546877 0.178903 0.005651 0.151716 0.028738 0.008593
2.716 0.473579 0.318165 0.11137 0.509852 0.047744 0.035102 0.220415 0.089428 0.005475 0.014249 0.547904 0.181943 0.00515 0.168362 0.032224 0.012016
2.72 0.486823 0.321875 0.12286 0.531424 0.050732 0.029408 0.231177 0.091882 0.005361 0.014958 0.544347 0.18459 0.004819 0.185261 0.036167 0.016283
2.724 0.496859 0.322916 0.134686 0.549414 0.054308 0.02609 0.239428 0.094934 0.005285 0.015577 0.536896 0.186707 0.004661 0.202116 0.040639 0.02149
2.728 0.504398 0.321443 0.146842 0.563853 0.058493 0.025258 0.245088 0.098497 0.005289 0.016126 0.526578 0.188142 0.004687 0.218638 0.04578 0.027746
2.732 0.509988 0.317412 0.159297 0.574758 0.063271 0.027013 0.248102 0.102489 0.005424 0.016632 0.514223 0.188812 0.004916 0.234571 0.051783 0.035185
2.736 0.513901 0.310749 0.171922 0.582118 0.068581 0.031448 0.248582 0.106811 0.005751 0.017147 0.500652 0.188669 0.005368 0.249629 0.058892 0.043957
2.74 0.516103 0.301601 0.184481 0.585956 0.074359 0.038644 0.246717 0.111367 0.006337 0.017758 0.486547 0.187641 0.006076 0.263429 0.067318 0.054219
2.744 0.516317 0.290178 0.196705 0.586235 0.080545 0.04866 0.242811 0.116066 0.007257 0.018583 0.472217 0.185689 0.00707 0.275589 0.077221 0.066148
2.748 0.514143 0.276803 0.208432 0.583152 0.087077 0.061526 0.237196 0.120941 0.008591 0.01979 0.457544 0.182995 0.008384 0.285872 0.088745 0.079959
2.752 0.50914 0.261891 0.219584 0.577113 0.093872 0.077221 0.23026 0.126113 0.010433 0.021569 0.442213 0.179979 0.010058 0.294311 0.101984 0.095861
2.756 0.500902 0.245758 0.230011 0.568507 0.100873 0.095661 0.222379 0.13172 0.012875 0.024161 0.426112 0.177057 0.01213 0.300953 0.116972 0.114022
2.76 0.489209 0.228588 0.239567 0.557596 0.108051 0.116689 0.213909 0.137923 0.016007 0.02783 0.409234 0.174465 0.014641 0.305685 0.133689 0.134542
2.764 0.474236 0.210639 0.248244 0.544313 0.115419 0.140074 0.205241 0.144939 0.019919 0.032863 0.391704 0.172302 0.017631 0.308273 0.152038 0.157443
