datacolumns 14
datarows 179
time	bicfemlh_r	bicfemsh_r	gaslat_r	gasmed_r	gra_r	recfem_r	sar_r	semimem_r	semiten_r	tfl_r	vasint_r	vaslat_r	vasmed_r
2.44	-0.016575433156	-0.00538800877355	-0.0161719876318	-0.0145124945914	-0.016627986869	0.0504833465338	-0.000378598713599	-0.0276529351921	-0.0352295111655	0.0130159509276	0.0458663788383	0.0409567095821	0.0437949626844
2.444	-0.0174712427223	-0.00627728863801	-0.0162611252029	-0.0146435799252	-0.0172624579413	0.0502596430156	-0.000810142338921	-0.0282949134052	-0.03587263165	0.0129157678282	0.0455520177238	0.0411111397754	0.0436695966552
2.448	-0.0183476976988	-0.00715627213293	-0.016371524348	-0.0147941406557	-0.0178839783408	0.0500874502585	-0.00124507278301	-0.0289193678155	-0.0364968334213	0.012787878004	0.0453087927483	0.0413359019964	0.0436064183009
2.452	-0.0192040138987	-0.00802375971683	-0.0165024640948	-0.0149633907359	-0.0184914093707	0.0499740898019	-0.00168246196363	-0.0295259227205	-0.0371017567139	0.0126339338826	0.0451415125744	0.0416340367567	0.0436097739576
2.456	-0.0200493397974	-0.00888877448795	-0.0166549653412	-0.0151527311636	-0.0190926093418	0.0499256329318	-0.00212662293782	-0.0301214431515	-0.0376942513218	0.0124534384095	0.0450534024415	0.042012677128	0.0436845579855
2.46	-0.0209252690668	-0.00979465858826	-0.0168382949141	-0.0153731352541	-0.0197255127084	0.0499536463408	-0.00260029319859	-0.0307362451649	-0.0383043449156	0.0122360249932	0.0450525086394	0.0425026160931	0.043846375588
2.464	-0.021785911563	-0.0106940409435	-0.0170443061383	-0.0156143899745	-0.0203464906835	0.0500683068466	-0.00307911480721	-0.0313366770805	-0.0388985007409	0.0119919765284	0.0451512943052	0.0430900206868	0.0440987930856
2.468	-0.0226237833795	-0.0115733626925	-0.0172591891613	-0.0158633065574	-0.0209470444249	0.0502513986627	-0.00355115163519	-0.0319161174002	-0.0394702573138	0.0117346990579	0.0453233750639	0.0437278910062	0.0444093016212
2.472	-0.0234316038182	-0.0124127543884	-0.0174535083164	-0.0160923770362	-0.0215172840138	0.0504481961793	-0.00399535949348	-0.0324666692212	-0.0400119804945	0.0114912943152	0.0454991929684	0.0443103636085	0.0446978550276
2.476	-0.0242055578931	-0.0132081683097	-0.0176228704788	-0.0162972759854	-0.0220548255786	0.0506480131113	-0.0044087926838	-0.0329862729521	-0.0405217723561	0.0112668567996	0.0456700066608	0.0448317490531	0.044958809204
2.48	-0.0249432533126	-0.0139576218992	-0.0177652186202	-0.016475895636	-0.022558298268	0.0508434373953	-0.00479032755006	-0.0334741117701	-0.0409989644179	0.0110642549537	0.0458305581754	0.0452919275793	0.0451902841885
2.484	-0.0256423213681	-0.0146593450514	-0.0178795133829	-0.0166270538905	-0.0230265841026	0.0510282696032	-0.00513926842307	-0.0339294646119	-0.0414430111645	0.0108854112371	0.0459764525482	0.0456914965136	0.0453908705578
2.488	-0.0263006609518	-0.0153119831555	-0.0179657589218	-0.0167505293203	-0.0234588025496	0.0511976683302	-0.00545543683748	-0.0343518785434	-0.0418536448645	0.0107312827723	0.0461043633205	0.0460320247813	0.0455599021745
2.492	-0.0269164504949	-0.015914622483	-0.01802495454	-0.0168470190236	-0.0238544010474	0.0513481949283	-0.00573915690331	-0.0347411499569	-0.0422308576626	0.0106019147071	0.0462121348574	0.0463161109893	0.0456975914862
2.496	-0.0274886828012	-0.0164672611599	-0.0180590281762	-0.0169181142829	-0.0242133785966	0.0514779023933	-0.00599143011906	-0.035097648976	-0.0425752038601	0.0104964385189	0.046298875859	0.0465475411177	0.0458051626164
2.5	-0.0280158312196	-0.0169695455856	-0.0180706186008	-0.0169660145902	-0.0245355846254	0.0515859441733	-0.00621330547735	-0.0354214284467	-0.0428869436068	0.0104134308598	0.0463647002632	0.0467306398436	0.0458845602778
2.504	-0.0284974965434	-0.0174222614783	-0.0180630184121	-0.0169935880636	-0.0248215442233	0.0516727938705	-0.00640650743852	-0.03571327377	-0.0431670368569	0.0103507522643	0.0464108483888	0.0468707492732	0.0459386465893
2.508	-0.0289330161706	-0.017826031318	-0.0180399487396	-0.0170040758691	-0.0250717270386	0.0517397702279	-0.00657279306869	-0.0359737688366	-0.0434162508733	0.0103059149315	0.0464393377999	0.046973532439	0.0459708264717
2.512	-0.0293223886198	-0.0181821214549	-0.0180053725096	-0.0170009889646	-0.0252870775947	0.0517889959471	-0.00671424003452	-0.0362038737512	-0.0436357022922	0.0102761075	0.0464528531849	0.0470450267604	0.045984971575
2.516	-0.0296655072232	-0.018491678611	-0.0179633442216	-0.0169879180565	-0.0254683663545	0.0518230390632	-0.00683286929646	-0.0364044159939	-0.0438263672058	0.0102584280324	0.0464544694537	0.0470912204139	0.045985151299
2.52	-0.0299628511753	-0.0187563531732	-0.0179177616149	-0.0169683632195	-0.0256167741747	0.0518447764605	-0.00693083292056	-0.0365764913919	-0.0439894614194	0.0102499739436	0.0464474473359	0.0471179549384	0.0459754455205
2.524	-0.0302149488636	-0.0189777574631	-0.0178722470888	-0.0169455881137	-0.0257334744905	0.0518571036278	-0.00701014519584	-0.0367211271122	-0.0441261143145	0.0102480158992	0.0464349971522	0.0471306150716	0.0459597238162
2.528	-0.0304225141969	-0.019157552288	-0.0178299962956	-0.0169224933262	-0.025819639764	0.0518627600792	-0.00707267296422	-0.0368393501822	-0.0442374309109	0.0102500976836	0.0464200945278	0.0471339809592	0.0459414782507
2.532	-0.0305864624926	-0.019297458042	-0.017793652649	-0.0169015066671	-0.025876558309	0.0518641710091	-0.00712010175885	-0.0369321828062	-0.0443244887179	0.0102541277224	0.0464053169247	0.0471320880214	0.0459236746124
2.536	-0.0307078062152	-0.0193991309894	-0.0177652519278	-0.0168845243705	-0.0259054784176	0.0518633240757	-0.00715386765983	-0.0370005795441	-0.0443882758112	0.0102584408567	0.0463927350042	0.0471281321799	0.0459086606252
2.54	-0.030787813474	-0.0194642931407	-0.0177461406669	-0.0168728489867	-0.0259077333351	0.0518616964309	-0.0071751880318	-0.0370455230532	-0.044429781467	0.0102618385523	0.0463838232406	0.0471244201426	0.0458980871132
2.544	-0.0308271145736	-0.0194939555732	-0.0177372008121	-0.0168673251084	-0.0258841661979	0.0518602349322	-0.00718480878165	-0.0370675119247	-0.0444495140815	0.0102635526473	0.0463795415451	0.0471224199668	0.0458930223267
2.548	-0.0308268532533	-0.0194894493501	-0.0177385687016	-0.0168681727889	-0.0258359877703	0.051859347493	-0.00718335066357	-0.037067217937	-0.0444481283974	0.010263285433	0.0463802011783	0.0471227364498	0.0458938019983
2.552	-0.0307885475563	-0.0194522434424	-0.0177497291109	-0.0168750553533	-0.0257643595438	0.0518589327923	-0.00717126463971	-0.037045448691	-0.0444263787435	0.0102611723329	0.0463855221081	0.0471251769058	0.0459000993327
2.556	-0.03071316547	-0.0193832382102	-0.0177698043615	-0.0168872773058	-0.0256702006886	0.0518584562339	-0.00714862944467	-0.0370025868916	-0.044384608332	0.0102576879295	0.0463948069611	0.0471288969153	0.0459111256687
2.56	-0.0306009736165	-0.0192826012047	-0.0177976606396	-0.0169038645752	-0.0255539010698	0.0518570067575	-0.00711511768372	-0.0369385386051	-0.0443226925961	0.0102535963665	0.0464070234954	0.0471324819865	0.0459257201501
2.564	-0.0304530258184	-0.0191510790404	-0.0178316031111	-0.0169233993097	-0.0254162591056	0.0518533584183	-0.00707045207796	-0.0368535937483	-0.0442408552454	0.0102499632182	0.0464207093932	0.0471339713723	0.0459422241329
2.568	-0.0302703718014	-0.0189893139952	-0.0178696773286	-0.0169442306117	-0.0252579480323	0.0518460743076	-0.00701421600444	-0.0367479987399	-0.0441392641564	0.0102480483225	0.0464341722402	0.0471310218683	0.0459587025139
2.572	-0.0300532610159	-0.0187971978735	-0.0179098865041	-0.0169646149242	-0.02507913854	0.0518335500542	-0.00694565016301	-0.036621474539	-0.0440175820051	0.0102492512284	0.0464456185779	0.0471209740506	0.045973083489
2.576	-0.0298015540032	-0.0185742370407	-0.0179501168865	-0.0169826793662	-0.0248798174078	0.0518140550395	-0.00686378139606	-0.0364734533143	-0.0438751924719	0.0102551056758	0.0464531518962	0.047100866208	0.045983140326
