datacolumns 24
datarows 179
time	addbrev_r	addlong_r	addmag1_r	addmag2_r	addmag3_r	bicfemlh_r	gmax1_r	gmax2_r	gmax3_r	gmed1_r	gmed2_r	gmed3_r	gmin1_r	gmin2_r	gmin3_r	gra_r	illiacus_r	psoas_r	recfem_r	sar_r	semimem_r	semiten_r	tfl_r
2.32	0.00221339823851	0.0250497711515	-0.0137982972885	-0.0320331052442	-0.0313256286766	-0.0572147572033	-0.0463834388861	-0.0499566047114	-0.0663570318706	-0.0216777776467	-0.0354109757215	-0.0418911811607	-0.0140457226746	-0.018910645086	-0.0251051989895	-0.00369881274101	0.0366079618535	0.0339423487421	0.0483543256823	0.0690438946178	-0.0560826119546	-0.0607511308653	0.0326515815777
2.324	0.00233954304378	0.0252047761582	-0.0135819042533	-0.031849150941	-0.0311372909396	-0.0571854426719	-0.0465299857292	-0.0500846396593	-0.0664874667434	-0.0218364085648	-0.0355765740278	-0.0420425847984	-0.014166146331	-0.0190448209934	-0.0252491877503	-0.00360879757355	0.0365435799609	0.0338979807371	0.0483063658282	0.0688672935557	-0.0560633612055	-0.0607290240291	0.0323647881827
2.328	0.00245080184465	0.0253444149177	-0.0133887275139	-0.0316822311016	-0.0309608431688	-0.0571567090657	-0.0466586803574	-0.0501987355976	-0.066599687648	-0.0219731864202	-0.0357094426073	-0.0421532692778	-0.0142650866939	-0.0191514274019	-0.0253582713445	-0.00352349995877	0.0364856272947	0.0338580465992	0.0482657398435	0.0686981898037	-0.0560447787477	-0.0607073412093	0.0321326773958
2.332	0.00254754384584	0.0254703609434	-0.0132189452833	-0.0315324558485	-0.030795139397	-0.0571298697872	-0.046770286199	-0.0503000129233	-0.0666948281203	-0.0220873134646	-0.0358079475316	-0.0422207413043	-0.0143408841173	-0.0192285577187	-0.0254300975927	-0.00344004082688	0.0364343602573	0.0338229971436	0.0482335448779	0.0685347304997	-0.0560272963438	-0.0606866172633	0.0319579724779
2.336	0.00263044384931	0.0255839316637	-0.0130717911109	-0.0313991046357	-0.0306389134119	-0.0571056595638	-0.0468656803729	-0.0503894717543	-0.0667736984705	-0.0221790628297	-0.0358720423813	-0.04224454105	-0.0143933108396	-0.0192759577171	-0.0254642737215	-0.00335616988388	0.0363895606862	0.0337927657528	0.0482100523793	0.0683754807086	-0.0560110608775	-0.060667058791	0.0318403780983
2.34	0.00270051508233	0.0256867299407	-0.0129461135456	-0.0312812892825	-0.0304909968126	-0.0570848989894	-0.046945753486	-0.0504680738509	-0.066837754715	-0.0222489787864	-0.035902561721	-0.0422256589901	-0.0144225944512	-0.0192941192055	-0.0254615763405	-0.00326999459908	0.036350980105	0.0337672913292	0.0481948731022	0.0682192353381	-0.0559962639181	-0.0606489447459	0.0317778285788
2.344	0.0027592487879	0.0257809128914	-0.0128400418399	-0.0311775722183	-0.0303497391983	-0.0570684138606	-0.0470116114717	-0.050536976144	-0.066889115305	-0.0222979913623	-0.0359009820711	-0.0421659302176	-0.0144293373454	-0.0192840552478	-0.0254235109552	-0.00317932220807	0.0363182078177	0.0337464207446	0.0481873592872	0.068064363112	-0.0559830552201	-0.0606325203334	0.0317668684122
2.348	0.00280833833821	0.0258686652948	-0.0127515064017	-0.031086535639	-0.0302138954408	-0.0570570137765	-0.0470643556102	-0.050597237577	-0.0669303998725	-0.0223273038004	-0.0358697837902	-0.042068892463	-0.0144146892456	-0.0192476569178	-0.0253529412092	-0.00308265154776	0.0362908430797	0.0337300159137	0.0481866481006	0.0679098199302	-0.0559716056501	-0.0606180733682	0.0318022284114
2.352	0.0028492743825	0.0259518298542	-0.01267902439	-0.031007490299	-0.0300832523375	-0.0570516068028	-0.0471047577203	-0.0506495582129	-0.0669644920752	-0.0223378251079	-0.0358118455172	-0.0419392059114	-0.014379831009	-0.0191871314921	-0.0252534843826	-0.00297959861216	0.0362687716011	0.0337181831852	0.0481919237984	0.067755655056	-0.0559622138036	-0.0606060529903	0.0318780672417
2.356	0.0028835734476	0.0260322822989	-0.0126209898927	-0.0309396145037	-0.0299574252433	-0.0570529479594	-0.0471336678855	-0.0506947264637	-0.0669942897077	-0.0223305064631	-0.0357299914259	-0.0417813828998	-0.0143259380279	-0.0191046356314	-0.0251286464889	-0.00286962451974	0.0362518265168	0.033710983035	0.0482022827782	0.0676017175741	-0.0559550846591	-0.060596797081	0.0319886817313
2.36	0.00291157907873	0.0261105638315	-0.0125782138838	-0.0308844517968	-0.0298386027346	-0.0570620665945	-0.0471507148209	-0.0507324232128	-0.0670222450598	-0.0223047207484	-0.0356261245837	-0.0415998567554	-0.0142531347334	-0.0190014697782	-0.0249814462278	-0.00275467400646	0.0362407349201	0.0337092016642	0.0482175068335	0.0674502895503	-0.0559507899944	-0.0605910660464	0.0321304006716
2.364	0.00293447386433	0.0261880499245	-0.0125498475517	-0.030842121332	-0.0297276916224	-0.0570796931082	-0.0471568205445	-0.0507633785492	-0.0670515572055	-0.0222612834206	-0.03550370353	-0.0414005590352	-0.014162770096	-0.0188802721196	-0.0248163143676	-0.00263559847298	0.0362356697535	0.0337131881706	0.048236835332	0.0673025276895	-0.0559496640475	-0.0605893526279	0.0322972312528
