datacolumns 2
datarows 95
time	R_hip_aa
2.708	-5840.89522966
2.712	-7479.22167568
2.716	-5944.17686756
2.72	-2616.56205468
2.724	352.168506553
2.728	1941.81431696
2.732	2311.52124542
2.736	1972.41030865
2.74	1343.11933318
2.744	696.423076887
2.748	181.324051222
2.752	-149.718706205
2.756	-309.412260969
2.76	-342.974299476
2.764	-300.579657658
2.768	-222.006961185
2.772	-133.139401275
2.776	-48.8935218754
2.78	22.6641094651
2.784	77.5215745585
2.788	114.407356567
2.792	134.180416797
2.796	128.556678328
2.8	119.399368933
2.804	102.536990211
2.808	82.4378352035
2.812	61.9937310843
2.816	44.857323668
2.82	35.1570737885
2.824	30.7640987943
2.828	19.7290115316
2.832	0.384631546072
2.836	-24.7737384602
2.84	-51.7561507134
2.844	-76.5364650101
2.848	-96.2367992826
2.852	-109.83236825
2.856	-117.892827186
2.86	-121.668784913
2.864	-122.683934688
2.868	-122.520585717
2.872	-123.075300206
2.876	-126.003245514
2.88	-132.027643337
2.884	-140.638851215
2.888	-150.33866738
2.892	-159.33481197
2.896	-166.361006646
2.9	-170.998774328
2.904	-173.504302873
2.908	-174.401507833
2.912	-173.820197449
2.916	-172.10945845
2.92	-169.889143265
2.924	-167.245494928
2.928	-164.176403412
2.932	-160.658451543
2.936	-156.618151134
2.94	-151.920599827
2.944	-146.364639311
2.948	-139.651253976
2.952	-131.45582082
2.956	-121.498789727
2.96	-109.614018005
2.964	-96.0451064653
2.968	-81.4393732612
2.972	-66.9793987282
2.976	-54.3430072498
2.98	-45.4997845608
2.984	-42.1879974444
2.988	-45.7942241596
2.992	-57.5966764241
2.996	-73.2577225897
3	-88.332915808
3.004	-96.6497981508
3.008	-94.9456811787
3.012	-82.4259045248
3.016	-59.9678504749
3.02	-30.89165921
3.024	-0.667588297564
3.028	25.1549987208
3.032	47.5678362643
3.036	53.4609723931
3.04	53.0068830855
3.044	49.2093169602
3.048	45.4213738278
3.052	44.0603476978
3.056	45.8082081352
3.06	49.8629332095
3.064	53.9880019897
3.068	55.4772533863
3.072	53.2429329293
3.076	47.9472713704
3.08	41.7440080942
3.084	37.6390649366
