Time addbrev_r addlong_r addmag1_r addmag2_r addmag3_r bicfemlh_r bicfemsh_r gaslat_r gasmed_r gmax1_r gmax2_r gmax3_r gmed1_r gmed2_r gmed3_r gmin1_r gmin2_r gmin3_r gra_r illiacus_r perbrev_r perlong_r perter_r psoas_r recfem_r sar_r semimem_r semiten_r sol_r tfl_r tibant_r vasint_r vaslat_r vasmed_r
3.224 80.8804 8.76018 25.9346 45.1434 59.6545 184.443 130.048 -0.0334783 181.813 20.8325 38.7063 34.6129 23.219 15.7963 16.963 9.03793 11.9765 12.4919 7.43526 0.070393 34.1323 159.207 37.1424 0.0233692 -0.00877729 0.940788 449.441 144.834 145.621 0.499439 229.428 1.93084 2.79349 1.03695
3.228 82.6283 8.74825 24.1585 44.5869 59.0887 187.871 132.904 -0.0524975 201.062 23.9135 44.4984 39.9545 25.598 17.4232 18.7193 10.2387 13.3087 13.8971 7.70282 0.0573776 36.6905 162.982 37.8518 0.0132779 -0.017019 0.972961 471.316 152.345 164.418 0.525559 248.393 2.5279 3.59511 1.64994
3.232 84.0698 8.7197 22.4933 43.8481 58.2575 190.352 135.17 -0.0774362 218.499 27.5304 51.2754 46.1667 28.4928 19.4426 20.9073 11.6427 14.8343 15.543 7.95185 0.0490402 39.7621 168.912 38.2634 0.00724857 -0.00862104 1.00846 490.537 159.116 187.004 0.571401 267.47 3.37235 4.72224 2.52899
3.236 85.1281 8.65643 20.8839 42.8694 57.0777 191.842 136.836 -0.105373 233.611 31.7348 59.1267 53.3219 31.9486 21.8887 23.5548 13.2693 16.5776 17.4559 8.17389 0.0444603 43.4523 177.584 38.3973 0.00433478 0.0185054 1.04712 506.512 164.975 214.676 0.642749 286.349 4.5742 6.31154 3.79874
3.24 85.7271 8.53905 19.2682 41.5844 55.4614 192.307 137.92 -0.130785 246.16 36.5714 68.1265 61.4737 36.0026 24.7854 26.6868 15.1363 18.5605 19.6583 8.36374 0.0441606 47.8749 189.51 38.2846 0.0049917 0.0608504 1.08902 518.695 169.764 248.56 0.746114 304.683 6.27744 8.54413 5.61422
3.244 85.8154 8.35254 17.5998 39.951 53.3583 191.736 138.452 -0.145157 256.26 42.0787 78.3353 70.6636 40.6847 28.148 30.3193 17.2587 20.802 22.1695 8.51886 0.046899 53.1301 205.017 37.9591 0.00813231 0.111731 1.13426 526.711 173.362 289.251 0.888051 322.136 8.67398 11.6667 8.16621
3.248 85.3573 8.0853 15.8437 37.9391 50.7392 190.1 138.472 -0.138549 264.325 48.2765 89.7751 80.8889 46.0066 31.9779 34.4538 19.6453 23.3144 25.0013 8.63825 0.0527973 59.3268 224.261 37.4709 0.0138012 0.164369 1.18316 530.374 175.694 336.396 1.07574 338.336 11.9881 15.9766 11.6625
3.252 84.1791 7.66815 13.8155 35.3527 47.3881 187.192 138.044 -0.103529 271.182 55.1161 102.324 91.9398 52.0019 36.2686 39.0747 22.3134 26.125 28.1839 8.71788 0.0712074 66.4568 246.858 36.8788 0.0285715 0.217004 1.23704 529.319 176.661 388.284 1.32202 353.091 16.4055 21.7425 16.2734
3.256 82.6275 7.19763 11.7814 32.5087 43.694 183.326 137.148 -0.0465623 278.02 62.6109 116.028 104.038 58.5573 40.9791 44.153 25.2205 29.1789 31.6443 8.76971 0.0768206 74.693 272.832 36.3074 0.0349482 0.258805 1.29358 524.911 176.469 443.276 1.62067 365.684 22.2359 29.4202 22.2687
3.26 80.5767 6.68558 9.77655 29.4303 39.7103 178.252 135.861 -0.000325565 286.903 70.688 130.71 116.858 65.6965 46.0881 49.6552 28.3688 32.4835 35.3984 8.79152 0.0842879 83.893 301.384 35.8777 0.0420161 0.290944 1.35453 517.222 175.077 499.687 1.98581 376.185 29.6584 39.2712 29.7875
