Time addbrev_r addlong_r addmag1_r addmag2_r addmag3_r bicfemlh_r bicfemsh_r gaslat_r gasmed_r gmax1_r gmax2_r gmax3_r gmed1_r gmed2_r gmed3_r gmin1_r gmin2_r gmin3_r gra_r illiacus_r perbrev_r perlong_r perter_r psoas_r recfem_r sar_r semimem_r semiten_r sol_r tfl_r tibant_r vasint_r vaslat_r vasmed_r
3.0415 0.1448 0.1448 0.1448 0.1448 0.1448 0.0233927 0.0233927 0.0150826 0.022487 0.0186955 0.0186955 0.0186955 0.0273676 0.0273676 0.0273676 0.0230306 0.0230306 0.0230306 0.150235 0 0.0316579 0.0316579 0.0316579 0 0.014702 0.0273425 0.0556802 0.0556802 0.0094154 0.0576014 0.197226 0.00351496 0.00373289 0.00329703
3.042 0.144704 0.144704 0.144704 0.144704 0.144704 0.0234241 0.0234241 0.0150692 0.0224565 0.0187079 0.0187079 0.0187079 0.0273567 0.0273567 0.0273567 0.0230313 0.0230313 0.0230313 0.150089 0 0.0316358 0.0316358 0.0316358 0 0.0146704 0.0272921 0.055759 0.055759 0.00941135 0.0574363 0.197065 0.00351118 0.00372824 0.00329412
3.0425 0.144603 0.144603 0.144603 0.144603 0.144603 0.0234575 0.0234575 0.015055 0.0224241 0.0187215 0.0187215 0.0187215 0.0273453 0.0273453 0.0273453 0.0230324 0.0230324 0.0230324 0.149937 0 0.0316121 0.0316121 0.0316121 0 0.0146374 0.0272397 0.055842 0.055842 0.00940703 0.0572634 0.196894 0.00350722 0.00372337 0.00329108
3.043 0.144496 0.144496 0.144496 0.144496 0.144496 0.0234929 0.0234929 0.01504 0.0223899 0.0187364 0.0187364 0.0187364 0.0273334 0.0273334 0.0273334 0.0230339 0.0230339 0.0230339 0.149778 0 0.0315869 0.0315869 0.0315869 0 0.0146029 0.027185 0.0559293 0.0559293 0.00940239 0.0570822 0.196712 0.00350308 0.00371825 0.00328791
3.0435 0.144384 0.144384 0.144384 0.144384 0.144384 0.0235303 0.0235303 0.0150241 0.0223538 0.0187526 0.0187526 0.0187526 0.0273211 0.0273211 0.0273211 0.0230359 0.0230359 0.0230359 0.149615 0 0.0315603 0.0315603 0.0315603 0 0.0145671 0.0271285 0.0560207 0.0560207 0.00939746 0.0568936 0.196521 0.00349875 0.00371292 0.00328459
3.044 0.144267 0.144267 0.144267 0.144267 0.144267 0.0235698 0.0235698 0.0150074 0.0223158 0.0187702 0.0187702 0.0187702 0.0273083 0.0273083 0.0273083 0.0230383 0.0230383 0.0230383 0.149446 0 0.0315321 0.0315321 0.0315321 0 0.01453 0.0270701 0.0561161 0.0561161 0.00939221 0.0566973 0.196319 0.00349425 0.00370735 0.00328116
3.0445 0.144144 0.144144 0.144144 0.144144 0.144144 0.0236111 0.0236111 0.0149899 0.0222759 0.0187892 0.0187892 0.0187892 0.0272951 0.0272951 0.0272951 0.0230412 0.0230412 0.0230412 0.149272 0 0.0315024 0.0315024 0.0315024 0 0.0144915 0.02701 0.0562154 0.0562154 0.00938666 0.0564939 0.196107 0.0034896 0.00370159 0.00327761
3.045 0.144017 0.144017 0.144017 0.144017 0.144017 0.0236545 0.0236545 0.0149715 0.0222343 0.0188097 0.0188097 0.0188097 0.0272815 0.0272815 0.0272815 0.0230446 0.0230446 0.0230446 0.149093 0 0.0314712 0.0314712 0.0314712 0 0.0144519 0.0269481 0.0563186 0.0563186 0.00938079 0.0562833 0.195884 0.00348475 0.00369559 0.00327393
3.0455 0.143885 0.143885 0.143885 0.143885 0.143885 0.0236998 0.0236998 0.0149524 0.0221908 0.0188317 0.0188317 0.0188317 0.0272675 0.0272675 0.0272675 0.0230486 0.0230486 0.0230486 0.14891 0 0.0314384 0.0314384 0.0314384 0 0.0144111 0.0268847 0.0564253 0.0564253 0.00937459 0.0560661 0.195652 0.00347977 0.00368941 0.00327014
3.046 0.143748 0.143748 0.143748 0.143748 0.143748 0.0237471 0.0237471 0.0149323 0.0221455 0.0188552 0.0188552 0.0188552 0.0272532 0.0272532 0.0272532 0.0230533 0.0230533 0.0230533 0.148722 0 0.0314041 0.0314041 0.0314041 0 0.0143691 0.0268197 0.0565356 0.0565356 0.00936808 0.0558422 0.19541 0.00347462 0.003683 0.00326625
3.0465 0.143606 0.143606 0.143606 0.143606 0.143606 0.0237963 0.0237963 0.0149115 0.0220984 0.0188804 0.0188804 0.0188804 0.0272386 0.0272386 0.0272386 0.0230586 0.0230586 0.0230586 0.148531 0 0.0313683 0.0313683 0.0313683 0 0.0143261 0.0267534 0.0566493 0.0566493 0.00936124 0.055612 0.195158 0.00346933 0.00367641 0.00326226
3.047 0.143459 0.143459 0.143459 0.143459 0.143459 0.0238474 0.0238474 0.0148899 0.0220495 0.0189072 0.0189072 0.0189072 0.0272237 0.0272237 0.0272237 0.0230645 0.0230645 0.0230645 0.148336 0 0.031331 0.031331 0.031331 0 0.014282 0.0266857 0.0567663 0.0567663 0.00935408 0.0553756 0.194895 0.00346389 0.00366963 0.00325816
3.0475 0.143307 0.143307 0.143307 0.143307 0.143307 0.0239004 0.0239004 0.0148675 0.0219988 0.0189357 0.0189357 0.0189357 0.0272085 0.0272085 0.0272085 0.0230712 0.0230712 0.0230712 0.148137 0 0.0312921 0.0312921 0.0312921 0 0.014237 0.0266167 0.0568864 0.0568864 0.00934659 0.0551333 0.194623 0.00345831 0.00366266 0.00325396
3.048 0.143151 0.143151 0.143151 0.143151 0.143151 0.0239553 0.0239553 0.0148443 0.0219464 0.018966 0.018966 0.018966 0.0271931 0.0271931 0.0271931 0.0230787 0.0230787 0.0230787 0.147935 0 0.0312517 0.0312517 0.0312517 0 0.014191 0.0265466 0.0570094 0.0570094 0.00933877 0.0548853 0.194341 0.00345259 0.0036555 0.00324968
