Time addbrev_r addlong_r addmag1_r addmag2_r addmag3_r bicfemlh_r bicfemsh_r gaslat_r gasmed_r gmax1_r gmax2_r gmax3_r gmed1_r gmed2_r gmed3_r gmin1_r gmin2_r gmin3_r gra_r illiacus_r perbrev_r perlong_r perter_r psoas_r recfem_r sar_r semimem_r semiten_r sol_r tfl_r tibant_r vasint_r vaslat_r vasmed_r
3.224 0.0992461 0.0696168 0.0513324 0.0798872 0.085142 0.106654 0.18554 0.0120269 0.0544635 0.0965334 0.106303 0.121682 0.0622574 0.0947724 0.0739605 0.0801054 0.0688315 0.046083 0.329761 0.0713612 0.0598685 0.0641095 0.105931 0.0609821 0.00933447 0.486467 0.0970982 0.220726 0.0373341 0.0797717 0.10952 0.0536952 0.0492209 0.056863
3.228 0.0987628 0.0693632 0.0505725 0.0790231 0.0843451 0.10553 0.185295 0.012127 0.0546322 0.0961878 0.105864 0.120767 0.0623293 0.0946652 0.0737365 0.0802259 0.0689108 0.0460765 0.32885 0.0718332 0.0597299 0.0639752 0.105783 0.0613692 0.00948866 0.487398 0.0959838 0.219404 0.0373244 0.0807222 0.109605 0.0542045 0.0497331 0.0573616
3.232 0.0983308 0.0691401 0.0498939 0.0782295 0.083601 0.104338 0.184984 0.0121121 0.0546326 0.0958603 0.10545 0.119921 0.0623451 0.0945459 0.0735307 0.0802898 0.0689463 0.0460492 0.327894 0.0722688 0.0596402 0.0639099 0.105496 0.0617292 0.00983694 0.488242 0.0947762 0.217969 0.0374996 0.0815999 0.109497 0.0548733 0.0504058 0.0580161
3.236 0.0979385 0.0689428 0.049277 0.0774841 0.0828895 0.10307 0.184612 0.0119529 0.0544194 0.0955428 0.105051 0.119121 0.0623088 0.094413 0.0733377 0.0803022 0.0689417 0.0460022 0.326893 0.0726812 0.0596248 0.0639413 0.105066 0.0620731 0.010408 0.489029 0.0934761 0.21642 0.0378895 0.0824246 0.109154 0.0556751 0.0512121 0.0588001
3.24 0.0975727 0.0687649 0.0487008 0.0767633 0.0821898 0.101718 0.184188 0.0116325 0.053953 0.0952268 0.104654 0.118341 0.0622249 0.0942651 0.0731523 0.0802688 0.0689014 0.045937 0.325842 0.0730836 0.0597036 0.0640917 0.104492 0.0624119 0.0112107 0.489788 0.0920845 0.214761 0.0385215 0.0832165 0.108538 0.0565833 0.0521248 0.0596873
3.244 0.0972204 0.0686002 0.0481454 0.0760461 0.0814839 0.100276 0.183715 0.0111564 0.0532049 0.0949052 0.104251 0.117559 0.0620988 0.0941017 0.0729701 0.080196 0.0688304 0.0458557 0.324741 0.0734875 0.0598873 0.0643731 0.103767 0.0627545 0.0122352 0.490545 0.0906039 0.212993 0.0394179 0.0839941 0.107623 0.0575732 0.0531187 0.0606534
3.248 0.0968684 0.0684414 0.0475909 0.0753122 0.080755 0.098742 0.183202 0.0105641 0.0521617 0.094572 0.103832 0.116753 0.0619368 0.0939234 0.072788 0.0800912 0.0687348 0.0457613 0.323589 0.0739027 0.0601761 0.0647861 0.102887 0.0631089 0.0134593 0.491323 0.0890386 0.211121 0.0405912 0.0847753 0.106395 0.0586211 0.0541689 0.0616747
3.252 0.0964671 0.0682525 0.0469731 0.074497 0.079946 0.0970953 0.182663 0.00994173 0.0508293 0.0942125 0.103376 0.115863 0.0617529 0.0937337 0.0726025 0.0799705 0.0686292 0.0456635 0.322353 0.0743549 0.0605505 0.0653097 0.101843 0.0634936 0.0148612 0.492189 0.0873799 0.209133 0.0420352 0.0856112 0.10487 0.059689 0.0552369 0.0627139
3.256 0.0960419 0.0680589 0.046319 0.0736285 0.0790858 0.0953567 0.1821 0.0094296 0.0492335 0.0938292 0.102887 0.114908 0.0615474 0.093531 0.0724107 0.0798343 0.068512 0.0455592 0.321072 0.0748374 0.0609976 0.0659289 0.10064 0.0639054 0.0164036 0.493116 0.0856499 0.207056 0.0437338 0.0864836 0.103062 0.0607672 0.0563121 0.0637615
3.26 0.0956065 0.0678729 0.0456442 0.0727263 0.0781954 0.0935499 0.18152 0.00920559 0.0474211 0.0934269 0.102373 0.113906 0.0613259 0.0933176 0.0722128 0.0796874 0.0683866 0.0454495 0.319771 0.075343 0.0614926 0.0666151 0.0992886 0.064339 0.0180456 0.494082 0.0838745 0.204921 0.0456491 0.0873799 0.10101 0.0618426 0.0573817 0.0648048
