Time addbrev_r addlong_r addmag1_r addmag2_r addmag3_r bicfemlh_r bicfemsh_r gaslat_r gasmed_r gmax1_r gmax2_r gmax3_r gmed1_r gmed2_r gmed3_r gmin1_r gmin2_r gmin3_r gra_r illiacus_r perbrev_r perlong_r perter_r psoas_r recfem_r sar_r semimem_r semiten_r sol_r tfl_r tibant_r vasint_r vaslat_r vasmed_r
3.224 -0.127789 -0.0672495 -0.201382 -0.226425 -0.207323 -0.272967 -0.052345 0.0367404 0.0593963 -0.0893818 -0.113979 -0.239064 0.0251934 -0.0255429 -0.0588143 0.0374739 0.0254703 0.000897761 -0.221969 0.123768 -0.038475 -0.0396468 -0.0196169 0.101187 0.0175955 0.246101 -0.266934 -0.315918 -0.0231152 0.248272 0.0414592 0.105312 0.105884 0.103114
3.228 -0.113831 -0.0593851 -0.178834 -0.206091 -0.191646 -0.289028 -0.0698127 0.0120545 0.0231517 -0.0836719 -0.106024 -0.21881 0.0107673 -0.028187 -0.0533983 0.0227841 0.0141663 -0.00425213 -0.233239 0.112783 -0.0297448 -0.0262684 -0.0545494 0.0928252 0.0615549 0.220381 -0.29025 -0.344656 0.0194324 0.227567 -0.001001 0.148586 0.149441 0.145434
3.232 -0.102412 -0.0521758 -0.161045 -0.191448 -0.181146 -0.307238 -0.0855066 -0.0209712 -0.0248859 -0.0803508 -0.101274 -0.204839 -0.00277836 -0.0315186 -0.0497061 0.00928054 0.00364843 -0.00938439 -0.24448 0.10555 -0.0139099 -0.00512174 -0.0894259 0.0876491 0.114998 0.202777 -0.313542 -0.373095 0.0693829 0.212044 -0.0547417 0.184863 0.185939 0.180839
3.236 -0.0940661 -0.046509 -0.148101 -0.182189 -0.175459 -0.327225 -0.0997913 -0.0602469 -0.0837522 -0.0788313 -0.0990256 -0.196451 -0.0152392 -0.0350716 -0.0471131 -0.00289979 -0.00583176 -0.0141172 -0.25637 0.10132 0.00747556 0.0222221 -0.125296 0.0849069 0.172929 0.192015 -0.33653 -0.401066 0.126769 0.201187 -0.118705 0.21487 0.21605 0.210028
3.24 -0.089284 -0.0425645 -0.140752 -0.179099 -0.175216 -0.349116 -0.112366 -0.101596 -0.151525 -0.0795075 -0.0997357 -0.194589 -0.0265669 -0.0389852 -0.0458471 -0.0136211 -0.0141954 -0.0184689 -0.26894 0.100483 0.0331456 0.0543107 -0.161921 0.0849319 0.230197 0.18898 -0.359257 -0.428668 0.190578 0.195548 -0.19115 0.238087 0.239195 0.232485
3.244 -0.0874312 -0.0400724 -0.137906 -0.180584 -0.178726 -0.371986 -0.123552 -0.137871 -0.224516 -0.0816492 -0.102471 -0.197588 -0.0363177 -0.0427947 -0.0454606 -0.0225459 -0.0211229 -0.0221417 -0.281681 0.102042 0.0598763 0.0876849 -0.200344 0.0868686 0.282985 0.191111 -0.381039 -0.455205 0.258934 0.194171 -0.268432 0.255698 0.256526 0.249376
3.248 -0.0890923 -0.0395672 -0.14017 -0.187213 -0.186493 -0.395418 -0.132886 -0.159136 -0.298767 -0.0852885 -0.10733 -0.205944 -0.044458 -0.0464066 -0.0458062 -0.0296141 -0.0265181 -0.0250058 -0.294711 0.106074 0.0852769 0.119629 -0.240148 0.0907378 0.329038 0.198955 -0.401589 -0.480416 0.328916 0.197195 -0.34686 0.267219 0.267549 0.260245
3.252 -0.110847 -0.0541793 -0.168015 -0.219715 -0.217282 -0.427477 -0.136709 -0.151868 -0.368582 -0.0944194 -0.12064 -0.238646 -0.0475197 -0.0484933 -0.047072 -0.0307235 -0.026341 -0.023984 -0.321841 0.119916 0.102544 0.142889 -0.282212 0.101582 0.370925 0.233266 -0.427147 -0.512796 0.394236 0.220339 -0.417302 0.266229 0.265875 0.258874
3.256 -0.106582 -0.0463896 -0.165113 -0.220702 -0.218395 -0.444132 -0.143372 -0.102264 -0.429672 -0.0984659 -0.125638 -0.244389 -0.0541516 -0.0525316 -0.0490164 -0.0361075 -0.0309953 -0.0272938 -0.322644 0.123615 0.119873 0.165554 -0.320069 0.105903 0.399889 0.236417 -0.439298 -0.527774 0.455096 0.220597 -0.486084 0.270224 0.269101 0.26235
3.26 -0.109262 -0.0447525 -0.170244 -0.228378 -0.224845 -0.458323 -0.146719 -0.00498104 -0.476102 -0.102599 -0.131402 -0.255537 -0.056824 -0.0543958 -0.0501682 -0.0375907 -0.0320448 -0.0279306 -0.325742 0.128737 0.127563 0.17742 -0.355306 0.11072 0.419606 0.244747 -0.447435 -0.538639 0.502565 0.226167 -0.539811 0.267358 0.265495 0.259154
