datacolumns 2
datarows 112
time	R_hip_fe
2.832	12.8108425033
2.836	-1.45416986116
2.84	-15.2691042762
2.844	-28.441782559
2.848	-42.3536126388
2.852	-55.2617318516
2.856	-66.1929337454
2.86	-75.2533638697
2.864	-82.6693229609
2.868	-88.7171083435
2.872	-93.6628143598
2.876	-97.719585138
2.88	-101.024645696
2.884	-103.634404412
2.888	-105.533559268
2.892	-106.649574806
2.896	-106.864828643
2.9	-106.086831236
2.904	-104.21811687
2.908	-101.182615659
2.912	-96.9303588617
2.916	-91.4367366949
2.92	-84.6988808278
2.924	-78.9348042911
2.928	-74.233026243
2.932	-69.712328281
2.936	-65.0995833764
2.94	-60.3700987748
2.944	-57.2585271747
2.948	-59.4966863862
2.952	-66.9380725212
2.956	-78.1448013334
2.96	-90.4395079872
2.964	-100.324329053
2.968	-104.150000468
2.972	-105.546432369
2.976	-104.652783981
2.98	-100.75867794
2.984	-93.382320381
2.988	-83.7883297891
2.992	-74.7546618807
2.996	-68.8315989747
3	-67.604189892
3.004	-70.2792948918
3.008	-75.0220451607
3.012	-80.1743585242
3.016	-84.5646783109
3.02	-87.595325441
3.024	-89.0461201947
3.028	-88.8160154945
3.032	-86.901633374
3.036	-83.4464792247
3.04	-78.6746952465
3.044	-72.779760337
3.048	-65.8584709088
3.052	-58.0236678441
3.056	-49.4102292573
3.06	-40.2875658659
3.064	-30.979453465
3.068	-21.8109007955
3.072	-13.0962419425
3.076	-5.10357239203
3.08	1.95284322172
3.084	7.9295092144
3.088	12.7596638294
3.092	16.4469309854
3.096	19.2376370435
3.1	21.382727578
3.104	23.23378143
3.108	25.207362495
3.112	27.6592451134
3.116	30.856608805
3.12	34.9409125637
3.124	39.8557496558
3.128	44.4667351166
3.132	49.0849169744
3.136	53.3916062048
3.14	57.0648641351
3.144	59.8102723842
3.148	61.5414856247
3.152	62.3106377116
3.156	62.2507643763
3.16	67.2279606923
3.164	70.8129741628
3.168	71.7101955616
3.172	69.5349187214
3.176	61.586623842
3.18	51.9289555881
3.184	41.4571255225
3.188	30.3214310544
3.192	18.3953070259
3.196	5.48688450707
3.2	-8.37501514676
3.204	-14.6145170643
3.208	-30.3352210104
3.212	-43.4585308272
3.216	-51.7079538532
3.22	-52.4935003076
3.224	-43.4836664918
3.228	-23.4738652694
3.232	6.63053603168
3.236	43.0154253096
3.24	78.9450298146
3.244	106.410230598
3.248	118.126759156
3.252	111.305698892
3.256	89.6141288329
3.26	61.5329992709
3.264	36.1395211985
3.268	19.5692326805
3.272	13.991314236
3.276	18.5968593451
