datacolumns 14
datarows 175
time	bicfemlh_r	bicfemsh_r	gaslat_r	gasmed_r	gra_r	recfem_r	sar_r	semimem_r	semiten_r	tfl_r	vasint_r	vaslat_r	vasmed_r
2.196	-0.0272476530045	-0.0163183400199	-0.0180519210788	-0.0169007441157	-0.0244717288301	0.0514540775658	-0.00592424984918	-0.0350126877188	-0.0424738269065	0.0105234943229	0.0462768359984	0.0464881197032	0.0457781227205
2.2	-0.0250855340829	-0.0142336683551	-0.0178125904629	-0.0165374081343	-0.0232461922578	0.0509303171944	-0.00492862380588	-0.0336216954956	-0.041130978909	0.01099247606	0.045888700653	0.0454529592152	0.0452712643457
2.204	-0.0228486936629	-0.0119983646263	-0.0173592867068	-0.0159806794493	-0.0219276311899	0.0503658476474	-0.00377698411067	-0.0321184520037	-0.0396669815901	0.011610859726	0.045411540329	0.0440266920356	0.0445568793386
2.208	-0.0205775939801	-0.00967860870849	-0.0168134557572	-0.0153436341228	-0.0205466261054	0.0499613776748	-0.00253912831902	-0.0305362175484	-0.038114873656	0.0122654806217	0.0450471492542	0.0424342887333	0.0438206214693
2.212	-0.0183387905584	-0.00743582650749	-0.0164113253415	-0.014846433875	-0.0191700147684	0.0500520197424	-0.00138514254019	-0.0289490257848	-0.0365476681016	0.0127412556875	0.0452466625684	0.0414234133991	0.0436000592483
2.216	-0.0161675866793	-0.00531124399889	-0.0161653463321	-0.0145021724004	-0.0178221460757	0.050499347247	-0.000341747205945	-0.0273890038404	-0.0349980034307	0.0130232086519	0.0458964936206	0.040946613146	0.0438084615241
2.22	-0.0140929970507	-0.00332337203493	-0.016050504278	-0.0142889172271	-0.0165190284038	0.0511218757777	0.000590416178084	-0.0258807218329	-0.0334914768242	0.013133212154	0.0468193076251	0.0408457464289	0.0442868559146
2.224	-0.0121396807017	-0.0014853732308	-0.0160389039802	-0.0141815886187	-0.015273962313	0.0517721689613	0.00141464633084	-0.0244458980798	-0.0320510792562	0.0130996914087	0.0478667500648	0.0409855171834	0.0449068950498
2.228	-0.010328609407	0.0001932846079	-0.0161027508104	-0.0141547995323	-0.0140983748627	0.0505662497922	0.00213641952633	-0.0231036242112	-0.0306973091856	0.012954485836	0.0466240591031	0.0384596312272	0.0431005045627
2.232	-0.00867629121186	0.00170686812485	-0.0162165071507	-0.0141848714577	-0.0130013498905	0.048881777777	0.00276260488807	-0.021869538235	-0.0294472680344	0.0127300455249	0.0447942676729	0.0353946729475	0.040623085956
2.236	-0.00719592307187	0.00305158987426	-0.0163581668668	-0.0142511505837	-0.0119910348254	0.0464600302356	0.00330012363389	-0.0207565594123	-0.0283153257275	0.0124573056883	0.0421352936129	0.0316995385786	0.0373533661733
2.24	-0.00589711351156	0.00422567419725	-0.0165098434502	-0.0143366056657	-0.0110740740712	0.0441286208087	0.00375563878552	-0.0197746193583	-0.0273127655035	0.0121640731451	0.039516135055	0.0281595926369	0.0341321812495
2.244	-0.00478697601877	0.00522792206735	-0.0166576364932	-0.0144278315254	-0.0102574160714	0.042519601614	0.00413483275994	-0.0189313783905	-0.0264485286083	0.0118743542545	0.0376104973434	0.0253992440692	0.0316244530986
2.248	-0.00387241683663	0.00605594855498	-0.0167909612339	-0.0145145556362	-0.00954900579882	0.0414600898904	0.00444176058261	-0.0182340584227	-0.0257309965782	0.0116085676568	0.0362640929508	0.0233019368231	0.0297174719896
2.252	-0.00315861452813	0.00670781378896	-0.0169022234955	-0.0145893015492	-0.00895611860683	0.0408005726705	0.00467955602027	-0.0176882104394	-0.0251667409148	0.0113831010921	0.0353474112353	0.0217673080199	0.0283184824017
2.256	-0.00265285375511	0.00717861013936	-0.0169855796129	-0.014646428278	-0.00848900536527	0.0404234962173	0.00484936650553	-0.0173006872249	-0.0247635713349	0.011211709799	0.0347630788745	0.0207227274781	0.0273630776461
2.26	-0.0024063263858	0.00742486129479	-0.0170300682478	-0.0146772597433	-0.0081857213925	0.0402683752484	0.00493759423179	-0.0171125065863	-0.0245638867404	0.0111192860233	0.0344832026058	0.0201976267312	0.0268814638162
2.264	-0.00241283800588	0.00745194611168	-0.0170343773801	-0.0146800257253	-0.00804788638049	0.0402503555597	0.00494768785217	-0.0171198033296	-0.0245643586681	0.0111109476826	0.0344354692138	0.0201258737859	0.0268165762829
2.268	-0.0024586544799	0.00744268944098	-0.0170326909626	-0.014678851781	-0.0079394859192	0.0402726114165	0.00494438056703	-0.0171550532038	-0.0245943249868	0.011114464827	0.0344455932718	0.0201452857861	0.0268344007095
2.272	-0.00266602815457	0.00729078328636	-0.0170057718668	-0.0146603938398	-0.00794394829232	0.0404120823661	0.00488960614183	-0.0173138987603	-0.02475134681	0.0111698434495	0.0346334048669	0.0204817241364	0.0271421606925
2.276	-0.00315151285274	0.0068949759971	-0.016935086323	-0.014611719121	-0.00814118979969	0.0407350963709	0.00474724302849	-0.0176877591389	-0.0251286847806	0.011315805895	0.0351073359745	0.0213456343328	0.0279331825277
2.28	-0.00382625277971	0.00632974032365	-0.01683705803	-0.014545292772	-0.00847490560611	0.0412825429613	0.00454203858914	-0.0182062130735	-0.0256541918362	0.0115155785422	0.0358637947536	0.02264488612	0.0291190304275
2.284	-0.00466542769887	0.00561411005275	-0.0167186368027	-0.0144670740776	-0.00893035022862	0.0421290531755	0.00427867760402	-0.0188491169318	-0.0263069419929	0.0117533121216	0.0369570472148	0.0244004498476	0.030716745767
2.288	-0.00564866914942	0.00476315299608	-0.016587141182	-0.014383557347	-0.00949552868637	0.0433629060678	0.00396006376463	-0.0195996996439	-0.0270693772209	0.0120131344496	0.038456384457	0.026649087749	0.0327598358829
2.292	-0.00675009476623	0.003796934622	-0.0164516277765	-0.0143025934212	-0.0101538302947	0.045065062383	0.00359074615148	-0.0204368755442	-0.0279195350044	0.0122770091781	0.0404245651891	0.0294145678896	0.0352731380275
2.296	-0.00794232803942	0.00273710877747	-0.0163218321869	-0.0142325052876	-0.0108875477919	0.0472366958434	0.00317595912996	-0.0213385534321	-0.0288344922729	0.0125271916681	0.0428464595116	0.0326484988339	0.0382110824588
2.3	-0.00919535288733	0.00160835044242	-0.016207579172	-0.0141814342168	-0.0116764832713	0.0491417155458	0.00272253942421	-0.0222808664174	-0.0297896181806	0.0127473315552	0.0449502959406	0.0356287217578	0.0408223765673
2.304	-0.0104806467201	0.000434852066313	-0.0161174619316	-0.0141562621969	-0.0125009624211	0.0504701568988	0.00223790078914	-0.0232414650058	-0.0307619483449	0.0129245895653	0.0464124085758	0.0380453336696	0.0427876505433
2.308	-0.0117699337667	-0.000758369815145	-0.0160581496504	-0.0141619106935	-0.0133409836691	0.0513553788747	0.00173082233101	-0.0241985947472	-0.0317292872767	0.0130502453701	0.0473696556022	0.0399821638013	0.0442402158152
2.312	-0.0130401121075	-0.00194998267346	-0.0160335539921	-0.0142008182276	-0.0141794730097	0.0516754916041	0.00120968197862	-0.0251348698906	-0.0326739826448	0.0131205324034	0.0475883980063	0.0409323623036	0.0447373606891
2.316	-0.0142730520507	-0.00312237034004	-0.0160449059447	-0.0142730559487	-0.0150024890243	0.0512517316889	0.000682305645037	-0.0260370225468	-0.0335826603275	0.0131359108917	0.0469261162964	0.0408512389832	0.0443474678454
2.32	-0.0154580718905	-0.00426429720108	-0.0160912652692	-0.0143769818632	-0.0158012396779	0.0508605637344	0.000154498308445	-0.0268976097315	-0.0344478998546	0.0130999331713	0.0463502099788	0.040856633223	0.0440312452006
2.324	-0.0166255761852	-0.0054055438728	-0.0161735280433	-0.0145148745052	-0.0166054245321	0.0505149157127	-0.000387025498197	-0.0277400544556	-0.0352932335943	0.0130142619418	0.0458595636666	0.0409590858107	0.0437919365693
2.328	-0.0177487902889	-0.00651808552623	-0.0162891525431	-0.0146827407544	-0.0173853527954	0.0502412023604	-0.000928463097483	-0.0285445638419	-0.0360987082563	0.0128835694271	0.0454784075678	0.0411653206793	0.0436460023852
2.332	-0.0188252667804	-0.00759797060599	-0.0164354525519	-0.0148777432767	-0.0181356298153	0.0500531890677	-0.00146676900033	-0.0293097637603	-0.0368630081502	0.0127129092034	0.0452141572103	0.0414778571266	0.0435995628955
2.336	-0.0198589093575	-0.00864776273433	-0.0166102654259	-0.0150979063592	-0.0188571058639	0.0499596168914	-0.00200206832645	-0.0300389713577	-0.0375895198082	0.0125064107253	0.0450696741849	0.0418986800551	0.0436561810441
