datacolumns 17
datarows 206
time	addmag_r	bicfemlh_r	gaslat_r	gasmed_r	gmax_r	gmed_r	gra_r	perlong_r	recfem_r	sar_r	semimem_r	sol_r	tfl_r	tibant_r	vaslat_r	vasmed_r
2.068 0.013671 0.005236 0.01898 0.014775 0.00768 0.017753 0.010477 0.039768 0.029391 0.021389 0.003375 0.016371 0.009888 0.241261 0.011561 0.008626
2.072 0.013336 0.005232 0.019479 0.015299 0.007738 0.019147 0.009965 0.040632 0.026461 0.019544 0.003044 0.016596 0.01063 0.245045 0.012056 0.008328
2.076 0.012913 0.005207 0.019992 0.015834 0.00777 0.020484 0.009478 0.041504 0.023948 0.018205 0.002645 0.016871 0.011404 0.249975 0.012528 0.008003
2.08 0.012423 0.005169 0.02048 0.01635 0.007774 0.021745 0.009005 0.042372 0.021845 0.017357 0.002176 0.017183 0.012203 0.255705 0.012962 0.007658
2.084 0.011881 0.005122 0.020915 0.016822 0.007752 0.02293 0.00854 0.043213 0.020124 0.016975 0.001636 0.017511 0.013033 0.261858 0.01334 0.007295
2.088 0.011297 0.005065 0.021273 0.017229 0.007709 0.024064 0.008083 0.04397 0.018751 0.017022 0.001024 0.017825 0.013911 0.267969 0.013632 0.006914
2.092 0.010675 0.004996 0.021522 0.017544 0.007651 0.025166 0.007632 0.044567 0.017688 0.017455 0.000336 0.01809 0.014848 0.273453 0.013804 0.00651
2.096 0.010011 0.004908 0.021638 0.017746 0.00758 0.026242 0.007188 0.044938 0.016902 0.018215 0.0 0.018276 0.015846 0.277721 0.013824 0.006081
2.1 0.0093 0.004794 0.021625 0.017836 0.007503 0.027292 0.006749 0.045053 0.016356 0.019239 0.0 0.018373 0.016897 0.280564 0.013659 0.005629
2.104 0.008544 0.004648 0.021506 0.017829 0.007426 0.02832 0.006315 0.044939 0.016008 0.020459 0.0 0.018385 0.017981 0.28215 0.013287 0.005168
2.108 0.007754 0.004463 0.021299 0.017736 0.007358 0.029349 0.005886 0.044611 0.015809 0.021804 0.0 0.018332 0.019069 0.28254 0.012707 0.004708
2.112 0.006954 0.004239 0.021006 0.017556 0.007307 0.030412 0.005471 0.044062 0.01571 0.023198 0.0 0.018231 0.020122 0.281577 0.011937 0.004258
2.116 0.006176 0.003978 0.020613 0.017272 0.007278 0.031548 0.00508 0.043255 0.015655 0.024559 0.0 0.018087 0.021106 0.278976 0.011029 0.00383
2.12 0.005453 0.003688 0.020099 0.016864 0.007275 0.032794 0.004725 0.042134 0.015582 0.025787 0.0 0.017893 0.021984 0.274381 0.010039 0.003438
2.124 0.004817 0.003377 0.019465 0.016328 0.007302 0.03417 0.004415 0.040676 0.015432 0.026762 0.0 0.017648 0.022712 0.267498 0.009023 0.003091
2.128 0.004297 0.003058 0.018727 0.015678 0.007356 0.03566 0.004155 0.038914 0.015155 0.027363 0.0 0.017354 0.023242 0.258188 0.008032 0.002799
