datacolumns 2
datarows 163
time	R_ankle_fe
2	0.847495048621
2.004	0.412779689715
2.008	-0.0191336351655
2.012	-0.438341791197
2.016	-0.834692815226
2.02	-1.19822125946
2.024	-1.51959285457
2.028	-1.79052992216
2.032	-2.00419118423
2.036	-2.15548342373
2.04	-2.24128739546
2.044	-2.26058575689
2.048	-1.50624654591
2.052	-1.07114624118
2.056	-0.338784459457
2.06	0.728034269979
2.064	2.15846142259
2.068	3.96977720467
2.072	6.1630894069
2.076	8.71944928076
2.08	11.5957638424
2.084	14.7200185458
2.088	17.9923720003
2.092	21.3066133232
2.096	24.5709022212
2.1	27.7077787492
2.104	30.6442892586
2.108	33.3178638197
2.112	35.6775171636
2.116	37.6834580461
2.12	39.3341693939
2.124	40.6191280487
2.128	41.5334302141
2.132	42.0794069444
2.136	42.2623302039
2.14	42.0920549517
2.144	41.5851272274
2.148	40.7629306779
2.152	39.6486879725
2.156	38.2626380497
2.16	36.6337014538
2.164	34.7888244166
2.168	32.7575038543
2.172	30.5666971279
2.176	28.2466623218
2.18	25.8259459638
2.184	23.3318129113
2.188	20.7914306188
2.192	18.2285674804
2.196	15.666464887
2.2	13.1256670311
2.204	10.6242245973
2.208	8.18034493197
2.212	5.81056654788
2.216	3.5296006341
2.22	1.35250337293
2.224	-0.707442304809
2.228	-2.63877721017
2.232	-4.42679365469
2.236	-6.06174239515
2.24	-7.53779425113
2.244	-8.85031019427
2.248	-9.99585418702
2.252	-10.9754464463
2.256	-11.7917243532
2.26	-12.4502472569
2.264	-12.9586918024
2.268	-13.3280363843
2.272	-13.5703318927
2.276	-13.7029317027
2.28	-13.7473113606
2.284	-13.7178787699
2.288	-13.6376604882
2.292	-13.5311305594
2.296	-13.4233836961
2.3	-13.3394489255
2.304	-13.3035980896
2.308	-13.3391137303
2.312	-13.4673255329
2.316	-13.7077891742
2.32	-14.077710243
2.324	-14.5920166512
2.328	-15.2631160664
2.332	-16.1010728641
2.336	-17.1127264182
2.34	-18.3026295963
2.344	-19.6724807376
2.348	-21.2225515242
2.352	-22.9516363312
2.356	-24.8564480125
2.36	-26.9337224854
2.364	-29.1775810014
2.368	-31.5812301051
2.372	-34.1351933018
2.376	-36.8276090999
2.38	-39.6442431076
2.384	-42.5682185169
2.388	-45.5826093361
2.392	-48.6676707694
2.396	-51.8036074182
2.4	-54.9684465198
2.404	-58.1397524379
2.408	-61.2946980092
2.412	-64.4066302692
2.416	-67.4488279849
2.42	-70.3945268876
2.424	-73.2110864887
2.428	-75.8688252143
2.432	-78.3725426987
2.436	-80.617511267
2.44	-82.60264911
2.444	-84.2924067077
2.448	-85.6552051798
2.452	-86.6589291045
2.456	-87.2747811722
2.46	-87.4770830065
2.464	-87.2434479442
2.468	-86.5568428418
2.472	-85.4035597207
2.476	-83.7774605115
2.48	-81.6770398946
2.484	-79.0773216613
2.488	-75.9827189958
2.492	-72.5322264699
2.496	-68.6858595424
2.5	-64.4815040873
2.504	-59.9690149355
2.508	-55.203602883
2.512	-50.2500353759
2.516	-45.1896047135
2.52	-40.0914104227
2.524	-35.0358725284
2.528	-30.1044623445
2.532	-25.3760511404
2.536	-20.9247160301
2.54	-16.8154080371
2.544	-13.0988496111
2.548	-9.77578454273
2.552	-6.89735683993
2.556	-4.46564707772
2.56	-2.46874981063
2.564	-0.883287233595
2.568	0.323970185838
2.572	1.19337275066
2.576	1.76939119604
2.58	2.09832317827
2.584	2.22581690639
2.588	3.78404153922
2.592	3.75048476796
2.596	3.69000243349
2.6	3.60037764482
2.604	3.4787836314
2.608	3.32415240833
2.612	3.13549614992
2.616	2.91203795067
2.62	2.65335232401
2.624	2.35950479451
2.628	2.03118093243
2.632	1.66979639712
2.636	1.27758081637
2.64	0.857629533516
2.644	0.413918288045
2.648	-0.0468626422393
