datacolumns 8
datarows 163
time	gaslat_r	gasmed_r	perbrev_r	perlong_r	perter_r	sol_r	tibant_r
2	-0.0421615201218	-0.0408036482885	-0.00831981078068	-0.0118220644522	0.0271356372414	-0.04216775227	0.0352109335952
2.004	-0.0419702156829	-0.0406102372778	-0.00841220032901	-0.0118711901256	0.0271104370077	-0.0419832882142	0.0349143139461
2.008	-0.0418139417775	-0.0404526222901	-0.00848311752308	-0.0119073928545	0.0270885425546	-0.041830292955	0.0346710517553
2.012	-0.0416960110982	-0.0403339840242	-0.00853308077589	-0.0119314417845	0.0270748930587	-0.0417124904313	0.0344880069003
2.016	-0.0416176824478	-0.0402554586187	-0.00856315328587	-0.0119443398872	0.0270726634613	-0.0416316041549	0.0343685726032
2.02	-0.0415777426543	-0.0402157245803	-0.00857506574944	-0.0119473489128	0.027082943471	-0.0415869279985	0.0343117753581
2.024	-0.041572940163	-0.040211447714	-0.00857095720507	-0.0119418023004	0.0271051685324	-0.04157565419	0.0343129465561
2.028	-0.0415996316092	-0.0402389191235	-0.00855289825787	-0.0119289662592	0.0271372193322	-0.0415946470497	0.0343661604564
2.032	-0.0416530433875	-0.040293320993	-0.00852310853913	-0.0119100672469	0.0271763022312	-0.0416395258664	0.0344633772975
2.036	-0.0417262256246	-0.040367579614	-0.0084854351771	-0.0118875869437	0.027215622859	-0.0417046251208	0.0345914037674
2.04	-0.0418148890993	-0.0404573859022	-0.00844160365528	-0.0118624204077	0.0272524588118	-0.0417858912886	0.0347424910465
2.044	-0.041914969588	-0.0405586566262	-0.00839321863678	-0.0118354087845	0.0272842607738	-0.0418794821397	0.0349091666964
2.048	-0.0420170523948	-0.0406618807629	-0.00834459422637	-0.0118089487626	0.0273072131477	-0.0419765875949	0.0350751075844
2.052	-0.0421139435207	-0.040759745024	-0.00829949301142	-0.011785332182	0.027317985836	-0.042070819793	0.0352274416485
2.056	-0.0422081853515	-0.0408547071616	-0.00825777573051	-0.0117651651751	0.0273123887317	-0.0421659176412	0.0353675066338
