datacolumns 17
datarows 178
time	addmag_r	bicfemlh_r	gaslat_r	gasmed_r	gmax_r	gmed_r	gra_r	perlong_r	recfem_r	sar_r	semimem_r	sol_r	tfl_r	tibant_r	vaslat_r	vasmed_r
2.06	0.116655	0.115025	0.015055	0.010854	0.031144	0.056473	0.019128	0.028195	0.005312	0.007172	0.20185	0.01097	0.014599	0.26929	0.049405	0.008233
2.064	0.113325	0.117331	0.015552	0.011162	0.035433	0.057185	0.019829	0.029304	0.005966	0.007509	0.181881	0.011533	0.01387	0.276932	0.051974	0.011594
2.068	0.109568	0.11914	0.016043	0.011457	0.040208	0.057754	0.020603	0.030454	0.006889	0.00789	0.162815	0.012084	0.013035	0.285091	0.054651	0.015817
2.072	0.105538	0.120284	0.016549	0.011738	0.045469	0.058349	0.021451	0.031661	0.008119	0.008325	0.144797	0.01264	0.012158	0.29425	0.057541	0.021027
2.076	0.101432	0.1206	0.017099	0.011998	0.051188	0.059228	0.022371	0.032968	0.00969	0.008818	0.127958	0.01322	0.011294	0.304851	0.060788	0.027384
2.08	0.097479	0.119987	0.017726	0.012234	0.05729	0.06069	0.023373	0.034431	0.011636	0.009374	0.112403	0.013843	0.010489	0.317229	0.064544	0.035067
2.084	0.093918	0.118466	0.018451	0.012449	0.063662	0.063009	0.024471	0.036079	0.013988	0.009992	0.098143	0.01452	0.009778	0.331473	0.068917	0.044264
2.088	0.090908	0.116121	0.019283	0.012644	0.070149	0.066409	0.025675	0.037909	0.016775	0.010664	0.085138	0.015253	0.009184	0.347343	0.073948	0.055156
2.092	0.088514	0.113091	0.020223	0.012817	0.076586	0.07107	0.026978	0.0399	0.020029	0.011383	0.073339	0.01603	0.008727	0.364244	0.079614	0.067898
2.096	0.086703	0.109515	0.021261	0.012957	0.082865	0.077123	0.02836	0.042008	0.023788	0.012149	0.062712	0.016829	0.008415	0.381245	0.085838	0.082596
2.1	0.085379	0.105518	0.022374	0.01305	0.088952	0.084639	0.029785	0.044158	0.028083	0.012966	0.053222	0.017619	0.008255	0.39717	0.092513	0.099303
2.104	0.084421	0.1012	0.023526	0.013088	0.094853	0.093614	0.031213	0.046283	0.032944	0.013835	0.044813	0.018369	0.008244	0.410806	0.09952	0.11802
2.108	0.083747	0.096627	0.02468	0.013067	0.100559	0.103974	0.032605	0.048352	0.038382	0.014758	0.037437	0.019072	0.008379	0.421225	0.106761	0.138674
2.112	0.083321	0.091881	0.025801	0.012979	0.105985	0.115553	0.033917	0.050359	0.044382	0.015724	0.03105	0.019727	0.008655	0.427795	0.114223	0.161099
2.116	0.083131	0.087046	0.026846	0.01281	0.111031	0.128107	0.035101	0.052269	0.050914	0.016717	0.025643	0.02035	0.009062	0.429902	0.122018	0.185053
2.12	0.083104	0.082241	0.027775	0.012548	0.115569	0.141305	0.036108	0.054006	0.057927	0.017718	0.021221	0.02095	0.009589	0.426889	0.130305	0.210301
2.124	0.083149	0.077564	0.02854	0.012192	0.119464	0.154689	0.036882	0.055467	0.065348	0.018708	0.017794	0.021537	0.010219	0.418367	0.139194	0.236628
2.128	0.083172	0.073114	0.029116	0.011766	0.122601	0.167655	0.03738	0.056568	0.073091	0.019664	0.015357	0.02215	0.010927	0.404491	0.148741	0.263773
2.132	0.083083	0.068997	0.029529	0.011334	0.124822	0.179507	0.037588	0.057312	0.081066	0.02056	0.013898	0.022859	0.011683	0.385934	0.158871	0.291338
2.136	0.082881	0.06529	0.029825	0.01098	0.125946	0.189598	0.037531	0.057775	0.089135	0.021383	0.013422	0.02377	0.012452	0.363516	0.169352	0.318727
2.14	0.082594	0.062008	0.030048	0.010795	0.125835	0.197529	0.037236	0.058079	0.097091	0.022114	0.013944	0.024993	0.013201	0.338146	0.179819	0.34522
2.144	0.082247	0.059109	0.030226	0.010871	0.124373	0.20305	0.036719	0.058368	0.104663	0.022727	0.015499	0.026631	0.013902	0.310882	0.189767	0.370105
2.148	0.081861	0.056557	0.03037	0.0113	0.121477	0.205873	0.036003	0.058758	0.111547	0.023197	0.018121	0.028772	0.014536	0.282686	0.198604	0.392667
2.152	0.081497	0.054331	0.030474	0.012173	0.117091	0.205811	0.035119	0.059319	0.117445	0.0235	0.021852	0.031492	0.015082	0.254367	0.205986	0.41211
2.156	0.081275	0.052429	0.030515	0.013576	0.111314	0.202853	0.034112	0.060081	0.122063	0.023619	0.026749	0.034854	0.015518	0.226609	0.211764	0.427562
2.16	0.081336	0.050858	0.030467	0.015592	0.104325	0.197179	0.033012	0.061024	0.125122	0.023527	0.032871	0.038908	0.015806	0.199923	0.216002	0.438119
2.164	0.0818	0.049592	0.030311	0.018301	0.096397	0.189101	0.03183	0.06211	0.126331	0.023206	0.040258	0.043675	0.015912	0.174665	0.218755	0.442933
2.168	0.082733	0.048601	0.03006	0.021784	0.087836	0.178932	0.030571	0.063313	0.125521	0.022664	0.048933	0.049162	0.015814	0.151098	0.219941	0.440995
2.172	0.084122	0.047885	0.029755	0.026115	0.078914	0.166987	0.029231	0.064592	0.122662	0.021932	0.058894	0.055356	0.015503	0.129432	0.219382	0.431657
2.176	0.0859	0.047472	0.029437	0.031352	0.069907	0.153624	0.027818	0.065859	0.117908	0.021044	0.07011	0.062215	0.014986	0.109918	0.21686	0.415086
2.18	0.088029	0.047442	0.029155	0.037529	0.061065	0.139353	0.026365	0.066982	0.111552	0.020031	0.082519	0.069654	0.014293	0.092845	0.212166	0.392265
2.184	0.090517	0.047907	0.028951	0.044647	0.052589	0.124713	0.024925	0.067785	0.104015	0.018935	0.096007	0.077519	0.013464	0.078439	0.205259	0.364715
2.188	0.093361	0.048951	0.028846	0.052678	0.04463	0.110171	0.023543	0.068099	0.095693	0.01779	0.110378	0.085581	0.012539	0.066866	0.196284	0.334087
2.192	0.096517	0.050613	0.028834	0.061564	0.037284	0.096094	0.022244	0.067806	0.086932	0.016621	0.125358	0.093549	0.011554	0.058239	0.185584	0.301835
2.196	0.099898	0.052874	0.028888	0.07121	0.030604	0.082757	0.021035	0.066857	0.078019	0.015449	0.140631	0.101118	0.010539	0.052615	0.173657	0.269146
