datacolumns 2
datarows 95
time	R_hip_fe
2.708	-858.247405414
2.712	-2456.25591163
2.716	-2287.03722474
2.72	-1002.86226179
2.724	135.508282252
2.728	628.226226925
2.732	635.217360103
2.736	470.67916462
2.74	301.851120396
2.744	148.44167164
2.748	4.83683480106
2.752	-117.148850431
2.756	-202.940032807
2.76	-247.457041818
2.764	-255.237450657
2.768	-235.337635989
2.772	-197.356346662
2.776	-149.84440272
2.78	-99.900946474
2.784	-52.9264906396
2.788	-12.3433935678
2.792	20.4804116741
2.796	22.3705544352
2.8	17.163494745
2.804	0.118736023533
2.808	-28.7104224087
2.812	-66.7658465713
2.816	-106.781349414
2.82	-135.967052397
2.824	-145.698484412
2.828	-134.2250777
2.832	-112.609823364
2.836	-89.8735937325
2.84	-73.8278788008
2.844	-68.5238520799
2.848	-72.4668756574
2.852	-81.2940462739
2.856	-90.8915678249
2.86	-99.1049624283
2.864	-104.976006138
2.868	-109.183146114
2.872	-112.320318643
2.876	-113.804472549
2.88	-112.560401167
2.884	-107.958491004
2.888	-100.280165441
2.892	-90.6383785551
2.896	-80.4734065578
2.9	-70.9525301936
2.904	-62.6626639373
2.908	-55.6707781536
2.912	-49.8816210334
2.916	-44.9817572627
2.92	-40.5083948245
2.924	-36.1734167361
2.928	-31.8099500627
2.932	-27.4398208168
2.936	-23.2399814678
2.94	-19.3803914901
2.944	-15.8236234511
2.948	-12.2376361217
2.952	-8.11339154446
2.956	-3.14399000212
2.96	2.54544537964
2.964	9.16753112476
2.968	16.2934764587
2.972	23.1372863425
2.976	28.5871555262
2.98	31.5383355285
2.984	30.9855780931
2.988	28.6141985606
2.992	30.1541467477
2.996	25.3131437661
3	13.4417460682
3.004	-7.14110305053
3.008	-28.3540658582
3.012	-43.3401766904
3.016	-49.8499471559
3.02	-48.0257691358
3.024	-39.8873948249
3.028	-28.7735504531
3.032	3.44578340064
3.036	0.993271589212
3.04	-2.961031049
3.044	-8.48754187262
3.048	-14.4364260475
3.052	-19.1579291602
3.056	-21.4145318437
3.06	-20.6401525852
3.064	-18.525801456
3.068	-16.0866878227
3.072	-14.3273205468
3.076	-13.5585866599
3.08	-13.1571167129
3.084	-11.7089517168
