datacolumns 8
datarows 179
time	gaslat_r	gasmed_r	perbrev_r	perlong_r	perter_r	sol_r	tibant_r
2.32	-0.0426035419759	-0.041264846443	-0.00796004280523	-0.0115496579597	0.027709414057	-0.0424413339606	0.0362073566207
2.324	-0.0424488775028	-0.0411073146426	-0.00804530629807	-0.0115999230098	0.0276872120535	-0.0422996006523	0.0359481150436
2.328	-0.0423086729793	-0.04096483669	-0.00811890694038	-0.0116424210248	0.0276644056935	-0.0421694576081	0.0357138366001
2.332	-0.0421867724308	-0.0408412227	-0.0081799213819	-0.0116768333084	0.027643572787	-0.0420548319302	0.0355109044548
2.336	-0.0420862678372	-0.0407395157064	-0.00822784431334	-0.0117031107447	0.0276270127741	-0.0419589874075	0.035344577573
2.34	-0.0420088745581	-0.0406613692737	-0.00826278214104	-0.0117215505765	0.0276164113411	-0.0418838975318	0.0352178796736
2.344	-0.0419557137567	-0.0406078435231	-0.00828503821475	-0.0117325595894	0.0276127139836	-0.0418309952441	0.0351327576479
2.348	-0.0419263167215	-0.0405784010533	-0.00829555295584	-0.0117368853577	0.027615804085	-0.0418002196931	0.035088318406
2.352	-0.0419195839884	-0.04057188256	-0.00829539079025	-0.0117353053107	0.0276248849451	-0.0417908742528	0.0350824665623
2.356	-0.0419335584337	-0.0405862801636	-0.00828581126406	-0.0117286464287	0.0276386595034	-0.0418013674689	0.0351115697997
2.36	-0.0419661615141	-0.040619470473	-0.00826804994453	-0.0117177157497	0.0276553136721	-0.0418300025639	0.0351715442717
2.364	-0.0420143373194	-0.0406683438941	-0.00824376958273	-0.0117035668495	0.0276723663461	-0.0418741891001	0.0352563767314
2.368	-0.0420754050725	-0.0407301849371	-0.00821427614524	-0.0116869936237	0.0276877603155	-0.0419315662408	0.0353607910732
2.372	-0.0421467915767	-0.040802366808	-0.00818103280931	-0.0116689868813	0.0276986748083	-0.042000085045	0.0354791664179
2.376	-0.0422261351864	-0.0408824921473	-0.00814519957715	-0.011650293198	0.0277030127012	-0.0420777326207	0.0356065043464
2.38	-0.0423112546035	-0.0409683238868	-0.00810806360691	-0.0116318444013	0.0276980574021	-0.0421628814263	0.0357376329256
2.384	-0.0424005534522	-0.0410582370341	-0.0080703648136	-0.0116141685374	0.0276821008278	-0.0422542506018	0.035868796812
