datacolumns 24
datarows 101
time	addbrev_r	addlong_r	addmag1_r	addmag2_r	addmag3_r	bicfemlh_r	gmax1_r	gmax2_r	gmax3_r	gmed1_r	gmed2_r	gmed3_r	gmin1_r	gmin2_r	gmin3_r	gra_r	illiacus_r	psoas_r	recfem_r	sar_r	semimem_r	semiten_r	tfl_r
2.656	-0.00196229252808	0.0168674524947	-0.0176679005899	-0.0341907735416	-0.0352401169229	-0.0533450400752	-0.0411310598707	-0.0439990481621	-0.0570554900447	-0.0199530383865	-0.0318322091038	-0.0371128512839	-0.0141472748065	-0.0176389247737	-0.0222284274496	-0.00880534414817	0.0357675918382	0.0321173721824	0.0473760291242	0.0736842482007	-0.0538903082471	-0.0581465627407	0.0384349943213
2.66	-0.00141204752488	0.0176522707923	-0.0167965632278	-0.0334380911784	-0.0344166090974	-0.0533760528447	-0.0419425825606	-0.0447447092818	-0.0575810502156	-0.0207173943954	-0.0326100305052	-0.037799687537	-0.0146957070994	-0.0182530036122	-0.022870896398	-0.00799212037739	0.0355157352404	0.0319817712175	0.0472289508379	0.0729309398288	-0.0539077397032	-0.0581642108965	0.0371023962441
2.664	-0.000853264977034	0.0184318834086	-0.01589328345	-0.0326476331879	-0.0335585064057	-0.0533882354442	-0.042753069686	-0.0454917941875	-0.0581002598205	-0.0214896161644	-0.0333919629226	-0.0384864520136	-0.0152532544259	-0.0188746249818	-0.0235195168788	-0.00715877656982	0.0352527839746	0.0318337128084	0.047051538167	0.0721361346615	-0.0539034387794	-0.0581579089097	0.0357497887035
2.668	-0.000291417259008	0.0191966424206	-0.0149652161017	-0.031824876979	-0.0326734411683	-0.0533780274125	-0.0435547707767	-0.0462327049733	-0.0586058561545	-0.0222638034095	-0.0341725836183	-0.0391691653794	-0.015816849106	-0.0195004289883	-0.0241710041389	-0.00631513995561	0.0349796771749	0.031673045464	0.0468434259852	0.0713077188712	-0.0538749841332	-0.0581251338531	0.0343851776301
2.672	0.000266315336638	0.0199347523317	-0.0140221686296	-0.0309775501688	-0.0317714160968	-0.0533418444397	-0.0443379949191	-0.046957484213	-0.0590876610769	-0.0230331711896	-0.0349446006824	-0.0398412578022	-0.0163829143516	-0.0201258778296	-0.024820096062	-0.00547182135001	0.0346975466495	0.0314996237033	0.0466056618525	0.0704561344449	-0.0538203816592	-0.0580637419355	0.0330203435636
2.676	0.00080164235613	0.0206154004992	-0.0130858263467	-0.0301203550266	-0.0308712489214	-0.0532683779138	-0.0450789483845	-0.0476384216953	-0.0595093035	-0.0237869299501	-0.0356875854725	-0.0404756026	-0.0169467564499	-0.0207397363053	-0.0254477525856	-0.00464426345571	0.0344048075464	0.0313087067049	0.0463388014632	0.0696006559948	-0.053732984277	-0.0579658551878	0.0316905441017
2.68	0.00131855364291	0.0212524475345	-0.0121616653948	-0.0292641257754	-0.029981974195	-0.053171329299	-0.0457848631463	-0.0482881779221	-0.0598972833423	-0.0245172821771	-0.0364071108893	-0.0410905530409	-0.0175000480713	-0.0213408056881	-0.0260624596696	-0.00384045778483	0.0341114889574	0.0311114732179	0.0460525432387	0.0687506601335	-0.0536232862313	-0.0578439218227	0.0303868973604
2.684	0.00181433704474	0.0218464162868	-0.0112597207051	-0.0284208692792	-0.0291153861236	-0.0530575291598	-0.0464526897712	-0.0489057870429	-0.060258542816	-0.0252164478481	-0.0371003037643	-0.0416887284719	-0.0180362900541	-0.0219246533683	-0.0266631134007	-0.00306891842415	0.0338234264457	0.0309135892429	0.0457539362166	0.067918589059	-0.0534973961623	-0.0577049600971	0.0291159841556
2.688	0.00228648663143	0.0223967406134	-0.0103876023914	-0.0275994996382	-0.0282803849116	-0.0529314102204	-0.0470795103821	-0.0494890397624	-0.0605957085021	-0.0258799150766	-0.0377648484096	-0.0422705346132	-0.0185519270167	-0.0224884283078	-0.0272482357933	-0.00233502788325	0.033543929854	0.0307182237399	0.0454480793593	0.0671142516285	-0.0533597880914	-0.0575539817677	0.0278835284532
2.692	0.00273246738633	0.0229033055587	-0.00955332706474	-0.0268095186671	-0.0274860482976	-0.0527981443701	-0.047662145621	-0.0500354402921	-0.060911805113	-0.0265028037761	-0.0383976444322	-0.0428352083743	-0.0190428010754	-0.0230284533474	-0.0278152433435	-0.00164403075654	0.0332765902464	0.030528814762	0.0451405695915	0.0663475219366	-0.0532155188185	-0.0573966064755	0.0266969692468
