datacolumns 8
datarows 101
time	gaslat_r	gasmed_r	perbrev_r	perlong_r	perter_r	sol_r	tibant_r
2.656	-0.0394683717275	-0.0381099289605	-0.00627972119034	-0.0109450284943	0.0211410724182	-0.0410619136042	0.0304997093298
2.66	-0.0390773032532	-0.0377182249237	-0.00653001738289	-0.0111429459474	0.0210158252957	-0.0407238523907	0.0301716379478
2.664	-0.0386654933823	-0.0373064397821	-0.00676220530348	-0.011324005381	0.0208718287002	-0.0403665103275	0.0298271449542
2.668	-0.0382435801511	-0.0368852089546	-0.00697374247677	-0.0114870314993	0.0207143244724	-0.0399989002979	0.0294762805151
2.672	-0.0378465466732	-0.0364891828442	-0.0071705615207	-0.0116373732931	0.0205634276485	-0.0396505068131	0.0291510774874
2.676	-0.0376838743924	-0.0363252742671	-0.00741112752326	-0.011818798836	0.0205423451654	-0.0394972932244	0.0290403281233
2.68	-0.0375777326722	-0.0362177743739	-0.00761742252005	-0.0119692350286	0.0205425875392	-0.0393930332017	0.0289753441573
2.684	-0.0374918768223	-0.0361308193288	-0.00778075826126	-0.012084919496	0.0205425324323	-0.0393081947493	0.0289221645829
2.688	-0.0374239263219	-0.0360620148268	-0.00790642282763	-0.0121718694734	0.0205419302532	-0.0392408213401	0.0288794603103
2.692	-0.0373726193092	-0.0360100747719	-0.00799905711061	-0.012234824045	0.0205410898013	-0.0391898297492	0.0288468198949
2.696	-0.0373367706093	-0.0359737904532	-0.00806260680699	-0.0122774531689	0.0205402894905	-0.0391541437529	0.0288238018152
2.7	-0.0373153291049	-0.035952091501	-0.00810012586202	-0.0123024075862	0.0205397157557	-0.0391327798793	0.0288099456473
2.704	-0.0373077938193	-0.0359444671472	-0.00811315671044	-0.0123110383255	0.0205394764167	-0.0391252741473	0.0288050513065
2.708	-0.0373136761377	-0.0359504216636	-0.00810277243793	-0.0123041645817	0.0205395985464	-0.0391311516631	0.0288088443395
2.712	-0.0373334190768	-0.0359704046533	-0.00806800100521	-0.0122810561904	0.0205400554708	-0.0391508462769	0.0288215750384
2.716	-0.0373677723116	-0.0360051787803	-0.00800686950023	-0.0122400976639	0.0205407428837	-0.0391850751041	0.0288436067661
2.72	-0.0374183919055	-0.0360564276225	-0.00791517549924	-0.0121778709321	0.0205414659042	-0.0392354298267	0.0288757772919
2.724	-0.0374879536618	-0.0361268721703	-0.0077859017568	-0.0120885284117	0.020541883681	-0.0393044736284	0.0289194163276
2.728	-0.0375803517966	-0.0362204748249	-0.00760815502564	-0.0119625981633	0.0205414154072	-0.0393959088071	0.0289763783802
2.732	-0.0377011165034	-0.0363428654777	-0.00736523735582	-0.0117846852858	0.0205391154407	-0.0395149298208	0.029049169523
2.736	-0.0378588714899	-0.0365028012091	-0.00703175365385	-0.0115294185962	0.020533983987	-0.0396694199002	0.0291419141871
