datacolumns 14
datarows 101
time	bicfemlh_r	bicfemsh_r	gaslat_r	gasmed_r	gra_r	recfem_r	sar_r	semimem_r	semiten_r	tfl_r	vasint_r	vaslat_r	vasmed_r
2.656	-0.0311860389541	-0.0198801116723	-0.0176162258876	-0.0167915264089	-0.026139917674	0.0518512481284	-0.00730885018557	-0.0374883377478	-0.0447637626338	0.0102882533602	0.0463226047281	0.0470912769144	0.04582465873
2.66	-0.0292218693707	-0.0181274406021	-0.0180116066572	-0.0170022650849	-0.0250915552308	0.0517809732172	-0.0066928554434	-0.0363420144689	-0.0436860718766	0.0102800498583	0.046451550938	0.0470352848279	0.0459837316876
2.664	-0.0272643192527	-0.016285178712	-0.0180501233609	-0.016896690676	-0.0239849481617	0.051443085995	-0.00590920775014	-0.0351331226657	-0.0425338399267	0.0105296613498	0.0462717864717	0.0464745843146	0.0457718985307
2.668	-0.0253627362961	-0.0144200614083	-0.0178428488505	-0.0165774745749	-0.0228601563289	0.0509850539726	-0.00502126311454	-0.0339025260722	-0.0413490939259	0.0109450233958	0.0459274534463	0.0455589128113	0.0453244627478
2.672	-0.0235788518633	-0.012614705219	-0.0174980448618	-0.0161456761073	-0.0217674586272	0.0505322500388	-0.00410107621745	-0.0327023495364	-0.040185191182	0.0114335933285	0.0455423467684	0.0444457157854	0.0447653922107
2.676	-0.0220920522583	-0.01107381428	-0.0171378386551	-0.015722402231	-0.0208318794723	0.0501898186346	-0.00328355179829	-0.031669366515	-0.0391787884808	0.0118811572978	0.04522272059	0.0433671302119	0.0442324688559
2.68	-0.0208002096466	-0.00972910641593	-0.0168242152906	-0.0153564254446	-0.0200129276282	0.0500027960547	-0.00256572603242	-0.0307526952266	-0.0382831070916	0.0122527209208	0.0450492790443	0.0424638155319	0.0438316419601
2.684	-0.0196908025257	-0.00859281973306	-0.0166003144955	-0.0150856321132	-0.0193178501704	0.0499893506083	-0.0019737604014	-0.0299565799969	-0.0375039150318	0.0125181978044	0.045074294207	0.041873625173	0.0436505426773
2.688	-0.0187622048965	-0.0076563287897	-0.0164443239024	-0.0148891881314	-0.0187476490322	0.050064267178	-0.00149621669458	-0.0292832676024	-0.0368445585323	0.0127024730783	0.0452031034784	0.0414981242657	0.0435999683433
2.692	-0.0180131533649	-0.00691245758849	-0.0163386641141	-0.0147502734645	-0.0183026661117	0.0501703151217	-0.00112359658493	-0.0287345011524	-0.0363076283034	0.0128262049795	0.0453691195755	0.0412660151715	0.0436175080735
2.696	-0.0174409878547	-0.00635389828885	-0.0162698613631	-0.0146558688034	-0.0179815977607	0.0502714588831	-0.000847718309002	-0.028310436905	-0.0358939115665	0.012905757122	0.0455280450533	0.0411277875743	0.0436615919743
2.7	-0.0170423675201	-0.00597375379941	-0.016228165339	-0.0145964476472	-0.0177818142865	0.0503464953001	-0.000661885289863	-0.028010212403	-0.0356029655615	0.0129532854949	0.0456519672929	0.041050496117	0.0437057800106
2.704	-0.0168122355444	-0.00576436123198	-0.0162069625628	-0.0145653795351	-0.017698621993	0.0503846695807	-0.000560190319739	-0.027831282397	-0.035432460976	0.0129771636097	0.0457254291368	0.0410135143337	0.043734797545
2.708	-0.016743483223	-0.0057169559609	-0.01620233577	-0.0145585093623	-0.0177255910415	0.0503825180238	-0.000537232885453	-0.0277691612598	-0.0353779859696	0.0129823417691	0.0457425597894	0.0410056816304	0.043741815737
2.712	-0.0168277393196	-0.00582214943548	-0.0162126892493	-0.0145738360169	-0.0178545418483	0.0503418071809	-0.000588208822429	-0.0278181216449	-0.035433718207	0.0129707375121	0.0457047941438	0.0410233307321	0.0437264648163
2.716	-0.0170536415336	-0.00606831833644	-0.0162381510066	-0.0146108650359	-0.0180753955171	0.0502687160037	-0.000707967280765	-0.0279699307167	-0.0355912535364	0.0129419651037	0.0456199877953	0.0410684873107	0.0436937512276
2.72	-0.0174088652322	-0.00644329235494	-0.0162802685629	-0.0146704091089	-0.018377092806	0.050172904436	-0.0008916448976	-0.028215434666	-0.0358411833046	0.012893800582	0.0455007230236	0.0411479077763	0.0436528374058
2.724	-0.0178804845613	-0.00693473391094	-0.0163415949166	-0.0147542142171	-0.0187485348131	0.0500671260943	-0.00113466880069	-0.0285448542168	-0.0361734488197	0.0128227937684	0.0453633745966	0.0412721552241	0.0436162844958
2.728	-0.0184570425475	-0.00753201393806	-0.0164255456831	-0.0148649204984	-0.0191798109711	0.0499668363077	-0.00143353108765	-0.0289493470771	-0.0365789062428	0.01272455528	0.0452270628134	0.0414553804889	0.043599478131
2.732	-0.0191304427201	-0.00822810211523	-0.0165365077106	-0.015006261282	-0.0196635802846	0.0498902692673	-0.00178666554397	-0.0294223807031	-0.0370507007359	0.0125937100792	0.0451133633124	0.0417159376003	0.0436207653479
2.736	-0.0198993681024	-0.00902304897114	-0.0166806109094	-0.0151839703742	-0.0201971195381	0.0498594958952	-0.00219628375166	-0.0299621511227	-0.0375866340534	0.0124230332908	0.045047195219	0.0420791112438	0.0437029779317
2.74	-0.0209819065304	-0.0101394611307	-0.0169144455128	-0.0154629837795	-0.0209102191746	0.0499288766092	-0.00278285999157	-0.0307215494427	-0.0383362803737	0.0121457527839	0.0450782495486	0.0427155662282	0.043931938211
2.744	-0.0225892664711	-0.0117975810438	-0.01731239857	-0.01592555216	-0.0219244666099	0.050260130572	-0.00367051760584	-0.0318402999459	-0.0394339930151	0.0116692427263	0.045369635669	0.0438864920256	0.0444875125265
2.748	-0.0243706952395	-0.0135973908283	-0.0176991494045	-0.0163920236837	-0.0230104213822	0.0507216905012	-0.00460799615895	-0.0330471746872	-0.0406112743847	0.0111603500223	0.0457537138961	0.0450747698575	0.0450809999979
2.752	-0.0262882966324	-0.0154763576285	-0.0179839935182	-0.0167786412141	-0.0241345903068	0.05122340161	-0.00553365325797	-0.0343013543447	-0.0418259916078	0.0106946557871	0.0461349040622	0.046112566805	0.045599359692
2.756	-0.0282933187816	-0.0173657682864	-0.0180649777362	-0.0169910220122	-0.0252587085557	0.0516534665727	-0.00638277420608	-0.0355573584673	-0.0430314491786	0.0103578893045	0.0464058598628	0.0468546481447	0.0459328877948
2.76	-0.0303259870287	-0.0191860453205	-0.01782284595	-0.0169184379067	-0.0263390066282	0.0518590018621	-0.00708242107013	-0.0367649182077	-0.0441766830885	0.0102507435784	0.0464173167039	0.047133922081	0.0459381142756
2.764	-0.0323465910137	-0.0209287589905	-0.0172707604522	-0.0165723419797	-0.0273584621779	0.0518195907426	-0.00764462909591	-0.0379034849366	-0.0452400588614	0.0103569051014	0.0461827220852	0.0469884967978	0.0456436669522
2.768	-0.0343534587364	-0.0226908574912	-0.0166443102757	-0.0161691123754	-0.0283408611966	0.0517161220084	-0.00820840722146	-0.0389951199638	-0.0462417111594	0.0104676132077	0.0459504190853	0.0467188500144	0.045314716884
2.772	-0.0363091910431	-0.024448503348	-0.0159796703976	-0.0157392772575	-0.0292676081119	0.0514616392153	-0.00877533262976	-0.040016995832	-0.0471595051262	0.0105555177122	0.0456351431561	0.046259308108	0.0448792242592
2.776	-0.0381792336152	-0.0261749282226	-0.0153102756602	-0.0153100385235	-0.0301225182609	0.0509698044641	-0.00934284386835	-0.040949669243	-0.0479756074222	0.0106007702221	0.0451447664024	0.0455453374836	0.0442602796986
2.78	-0.0399423506068	-0.0278522629024	-0.0146738688977	-0.0149129188481	-0.0309014430305	0.050282793912	-0.00991471958047	-0.0417871253738	-0.0486864088059	0.0105825486435	0.044506633514	0.0446542454971	0.0435000757294
2.784	-0.0415867863627	-0.0294675394643	-0.0141038390406	-0.0145758434979	-0.0316081722745	0.0496053567965	-0.0104961518707	-0.0425327251694	-0.0492983758656	0.0104855738216	0.0439072036563	0.0438239575546	0.0427911661378
2.788	-0.0430941794908	-0.0309979854765	-0.0136163394149	-0.0143097730016	-0.0322376075072	0.0489589012092	-0.0110785990493	-0.0431823862783	-0.0498109731849	0.0103129297991	0.0433611558873	0.043069994645	0.0421478824526
2.792	-0.044453179216	-0.0324245249405	-0.0132179395794	-0.014117350414	-0.032788253012	0.0483551909274	-0.0116518985924	-0.0437369455464	-0.0502286991857	0.0100751978246	0.0428730813713	0.0423961551244	0.0415741016233
