datacolumns 2
datarows 78
time	R_hip_fe
3.164	24.1553172418
3.168	-12.9551417023
3.172	-49.4517048522
3.176	-83.9322387226
3.18	-112.470131225
3.184	-133.90936045
3.188	-147.999196795
3.192	-155.238139046
3.196	-156.659414881
3.2	-153.665624232
3.204	-147.749064855
3.208	-140.291624186
3.212	-132.419392377
3.216	-124.922687049
3.22	-118.241061531
3.224	-112.502202328
3.228	-107.596258344
3.232	-103.264756176
3.236	-107.029693329
3.24	-111.425039948
3.244	-116.377900829
3.248	-120.367801105
3.252	-122.750444224
3.256	-123.952502452
3.26	-124.478698356
3.264	-124.285992683
3.268	-122.359603772
3.272	-117.784042624
3.276	-110.838285499
3.28	-102.468342861
3.284	-93.3974712558
3.288	-84.0531433321
3.292	-74.535599896
3.296	-65.0916025548
3.3	-56.0588289168
3.304	-47.7275401188
3.308	-40.3089627375
3.312	-33.8479690333
3.316	-28.1788205889
3.32	-22.8473547715
3.324	-17.152375404
3.328	-10.1868610838
3.332	-1.03895244209
3.336	10.7529139243
3.34	24.9266208544
3.344	40.4663968047
3.348	55.8274209347
3.352	69.432793672
3.356	79.7650747364
3.36	86.5443498976
3.364	97.5665309412
3.368	102.674628651
3.372	100.647915852
3.376	86.8559073226
3.38	66.5307882278
3.384	46.869342762
3.388	30.7153043032
3.392	19.8021893838
3.396	14.3668857769
3.4	13.4241800821
3.404	15.3823306691
3.408	43.9835464155
3.412	38.349327885
3.416	33.2852474776
3.42	28.3571810344
3.424	23.5914599087
3.428	19.6078098972
3.432	17.2808628338
3.436	16.7251315862
3.44	18.627437768
3.444	22.2695091036
3.448	23.0501722666
3.452	21.2261199823
3.456	16.4201547144
3.46	7.98760096286
3.464	-2.89049719828
3.468	-13.9851852675
3.472	-26.2071192231
