datacolumns 8
datarows 78
time	gaslat_r	gasmed_r	perbrev_r	perlong_r	perter_r	sol_r	tibant_r
3.164	-0.0444377020176	-0.0431289853875	-0.00648455282621	-0.0108480889712	0.0253883857197	-0.0444713540422	0.0376247352195
3.168	-0.0442708373537	-0.0429551074344	-0.00672890093999	-0.0109882816612	0.0256462678618	-0.0443100124934	0.0375132700662
3.172	-0.0440831231558	-0.0427600594971	-0.00696106579117	-0.0111227200171	0.0258677122803	-0.0441337237014	0.0373492498235
3.176	-0.0438752468364	-0.0425445968889	-0.0071824172292	-0.0112531676283	0.0260412094829	-0.0439443612593	0.0371292264447
3.18	-0.0436491372497	-0.0423107405877	-0.00739404546306	-0.0113810233067	0.0261564483462	-0.0437449325148	0.0368533582924
3.184	-0.0434075888504	-0.0420614067644	-0.00759688812594	-0.0115071883481	0.0262074794431	-0.0435387399312	0.0365266488185
3.188	-0.0431541225931	-0.0418002705412	-0.00779121283668	-0.0116317283951	0.0261936861715	-0.0433290770555	0.0361586900853
3.192	-0.0428936624369	-0.0415324360104	-0.00797573240101	-0.0117535928965	0.0261181037548	-0.0431202011616	0.0357627690378
3.196	-0.042632805487	-0.0412647156772	-0.00814775053479	-0.0118705167781	0.0259898287343	-0.0429170066924	0.0353563618138
3.2	-0.0423815451852	-0.041007317895	-0.0083020753247	-0.0119790242176	0.0258189535529	-0.0427277964269	0.0349597625684
3.204	-0.0421437817575	-0.0407642451164	-0.00843816864303	-0.0120775307148	0.0256244600682	-0.042553272467	0.0345864092792
3.208	-0.041928436376	-0.0405445332845	-0.00855255410827	-0.0121630185514	0.0254235087701	-0.0423990938617	0.0342523632379
3.212	-0.0417457750772	-0.0403585086957	-0.00864174110733	-0.0122325684448	0.0252326686866	-0.0422722141397	0.0339724510034
3.216	-0.0416067049122	-0.0402170932153	-0.00870280214039	-0.0122835094006	0.0250684021534	-0.0421799756291	0.0337602858982
3.22	-0.0415217386053	-0.0401307802861	-0.00873376845826	-0.0123136157429	0.0249461963717	-0.0421292428465	0.0336278153182
3.224	-0.041500716457	-0.0401093958271	-0.00873330201977	-0.0123208815638	0.0248803010647	-0.0421261625785	0.0335862705764
3.228	-0.0415514813383	-0.0401608131369	-0.00870072882473	-0.0123034898819	0.0248836734617	-0.0421748762905	0.0336460892344
3.232	-0.04167789511	-0.0402890129065	-0.00863610744191	-0.0122598456877	0.0249677079982	-0.0422756614683	0.0338161259803
3.236	-0.0418786179929	-0.0404929223836	-0.00853946311158	-0.0121881898457	0.0251418871319	-0.0424238576358	0.0341037036504
3.24	-0.0421444162629	-0.0407637548411	-0.00841071580224	-0.0120866678969	0.0254125581966	-0.0426076143755	0.0345124368798
3.244	-0.0424569782496	-0.0410838413666	-0.00824904535229	-0.0119531264035	0.0257814230366	-0.0428072191572	0.0350409683325
3.248	-0.0427883569741	-0.0414260293001	-0.00805312174353	-0.0117853760324	0.0262442634361	-0.0429950399091	0.0356811886281
3.252	-0.0431038594606	-0.0417564576705	-0.00782103605056	-0.0115815949375	0.026787465036	-0.0431393164452	0.0364177235286
3.256	-0.0433628520382	-0.0420352037907	-0.00755350929963	-0.0113416610034	0.0273945562064	-0.043203804567	0.037227059743
3.26	-0.0435271038515	-0.0422244569576	-0.00725266207772	-0.0110672572618	0.0280418700091	-0.0431570146676	0.0380802028554
3.264	-0.0435665828019	-0.0422941553367	-0.00692323608281	-0.0107626264717	0.0287016096064	-0.0429771635342	0.0389449306987
3.268	-0.0434646794981	-0.0422271427449	-0.00657266233895	-0.010434621269	0.0293450562288	-0.042656356611	0.0397892206307
3.272	-0.0432203896869	-0.0420213743447	-0.00621072525666	-0.0100923698208	0.0299463352972	-0.042201714067	0.0405837981369
3.276	-0.0428476521545	-0.041689391369	-0.00584837995861	-0.00974625511911	0.0304858452658	-0.0416337786878	0.0413047038349
3.28	-0.042371649524	-0.0412548216347	-0.00549637187153	-0.00940663757619	0.0309528720792	-0.040982257315	0.0419347233267
3.284	-0.0418241417107	-0.0407479088981	-0.00516401754265	-0.00908274449167	0.0313458586661	-0.0402813136429	0.0424640191437
3.288	-0.0412384374108	-0.0402006329187	-0.00485854243418	-0.00878196603824	0.0316715333035	-0.0395648311176	0.0428893985425
3.292	-0.040645198037	-0.0396426197471	-0.00458472112298	-0.00850943476631	0.0319427433519	-0.0388626386599	0.0432132240995
3.296	-0.0400697196351	-0.0390984637763	-0.00434498526717	-0.00826805282426	0.0321754141145	-0.0381982860242	0.0434418059749
3.3	-0.0395309368512	-0.038586705566	-0.00413993849853	-0.00805892401813	0.0323854527977	-0.0375885242042	0.0435835066567
3.304	-0.0390417615358	-0.0381201055549	-0.00396902733473	-0.00788195948836	0.0325863361657	-0.0370440140632	0.0436470264645
3.308	-0.0386101764393	-0.0377066639364	-0.00383114886824	-0.00773645071993	0.0327875885177	-0.0365706536854	0.0436402601673
3.312	-0.0382410868312	-0.0373513850091	-0.00372526586917	-0.00762168276916	0.032993895709	-0.0361715940381	0.0435698341963
3.316	-0.0379380474851	-0.0370579252442	-0.00365089764954	-0.00753741896917	0.0332052367987	-0.0358490551867	0.043440988382
3.32	-0.0377048484059	-0.0368301110016	-0.0036085079187	-0.00748429003318	0.0334173874066	-0.0356059664161	0.0432578491066
3.324	-0.0375463500075	-0.0366727359107	-0.00359967590718	-0.00746395736057	0.0336226959964	-0.0354468130989	0.0430237915138
3.328	-0.0374689765085	-0.0365920357236	-0.00362715161514	-0.007479170151	0.0338104782742	-0.0353781419492	0.0427420903566
3.332	-0.0374802858385	-0.036595261006	-0.00369478254934	-0.00753365881137	0.0339677000022	-0.0354081568737	0.0424158422822
3.336	-0.0375879637328	-0.0366897080316	-0.00380720862969	-0.0076318146084	0.0340791141706	-0.0355457277217	0.0420481591945
3.34	-0.0377978655135	-0.0368808225424	-0.00396938862928	-0.00777817254314	0.0341277674454	-0.0357984576882	0.0416414717501
3.344	-0.0381128424334	-0.0371710663936	-0.00418629588736	-0.00797709823003	0.0340948206341	-0.0361716230455	0.0411974176858
3.348	-0.0385290942913	-0.0375563961732	-0.0044619986755	-0.00823180974073	0.0339607663265	-0.0366645004717	0.0407151076347
3.352	-0.0390346291364	-0.0380247877035	-0.00479920603678	-0.00854394142247	0.0337056351271	-0.0372689132011	0.0401909260163
3.356	-0.0396061667399	-0.0385532739511	-0.00519832106247	-0.00891261403145	0.0333104715558	-0.0379660126706	0.0396176260094
3.36	-0.0402068567275	-0.0391057841276	-0.00565666716769	-0.0093337206412	0.0327590346095	-0.0387237420759	0.0389837299161
3.364	-0.0407857540031	-0.0396326415334	-0.00616878369181	-0.00980022677046	0.0320385172651	-0.0394961468105	0.0382718932649
3.368	-0.0412768247966	-0.0400698104873	-0.00672438950338	-0.0103004839825	0.0311433540502	-0.0402210330757	0.0374633589496
3.372	-0.0416026637903	-0.0403427230367	-0.00730698377948	-0.010817252247	0.0300811944201	-0.0408216260395	0.0365426158498
3.376	-0.0416876701897	-0.0403791051077	-0.0078957306399	-0.0113299288466	0.0288744726103	-0.041218464899	0.0355021417337
3.38	-0.0414726492177	-0.0401230779833	-0.00846822429305	-0.0118173199194	0.0275606584378	-0.0413430036337	0.0343453418793
3.384	-0.0409303000333	-0.0395499386042	-0.00900457315012	-0.0122615625245	0.0261864505831	-0.0411541604836	0.0330894159999
3.388	-0.0400767907326	-0.0386772790619	-0.0094881339825	-0.0126491993062	0.0248058364169	-0.0406510969005	0.0317709695667
3.392	-0.0389733221709	-0.0375662021319	-0.00990726655203	-0.0129726400558	0.0234750505242	-0.0398775168755	0.0304418931646
3.396	-0.0377175004564	-0.0363126961686	-0.0102554615522	-0.0132306477694	0.0222450656546	-0.038916935402	0.0291630613742
3.4	-0.0364237613366	-0.0350284962495	-0.0105306802176	-0.0134272994573	0.0211572512317	-0.0378750884071	0.0279933842345
3.404	-0.0352062758068	-0.0338245862334	-0.010733109329	-0.0135698062031	0.0202427306726	-0.0368629094974	0.0269846024165
3.408	-0.0349365774298	-0.0335589961163	-0.010745091307	-0.0135948800647	0.0200369116039	-0.0366488282452	0.0267869375537
3.412	-0.0350230523667	-0.0336454398986	-0.0106866004485	-0.0135810131652	0.0200725088052	-0.0367438080728	0.026881901098
3.416	-0.0351373800685	-0.0337597838262	-0.0106067039585	-0.0135600081842	0.0201175457248	-0.036868432813	0.027003924857
3.42	-0.0352868667834	-0.0339094135387	-0.0104965238729	-0.0135277178225	0.0201725244202	-0.0370303351797	0.0271583700048
3.424	-0.0354957076477	-0.0341186827897	-0.0103309407577	-0.0134729725601	0.0202421270096	-0.0372547129975	0.0273651344702
3.428	-0.0358333373961	-0.0344575465748	-0.0100318729238	-0.0133585535817	0.020337829849	-0.037613278781	0.0276789778684
3.432	-0.0361828396511	-0.0348089967276	-0.00967628664417	-0.0132015165264	0.0204163273847	-0.0379793383763	0.0279796747147
3.436	-0.0365566590687	-0.0351856141917	-0.00923574341775	-0.0129810693878	0.0204785225635	-0.0383654308354	0.0282766650337
3.44	-0.0369423310304	-0.0355749093203	-0.00870395997481	-0.0126820159682	0.020520255147	-0.0387581597172	0.0285587519123
3.444	-0.0373238776236	-0.0359607439153	-0.00808508781583	-0.0122924260141	0.0205399157695	-0.0391413094868	0.0288154617082
3.448	-0.0376838725015	-0.0363254017357	-0.00739920597132	-0.0118099707265	0.0205391683613	-0.0394980634794	0.0290386860904
3.452	-0.0380068753839	-0.0366530821543	-0.00668325593679	-0.01124868852	0.0205226858657	-0.039814316453	0.0292241673318
3.456	-0.0382815488757	-0.036932091264	-0.0059871210827	-0.0106441277878	0.0204968829901	-0.0400804316957	0.0293713602682
3.46	-0.0385018904797	-0.0371561439667	-0.0053630344237	-0.0100504323063	0.0204682877412	-0.0402920510261	0.0294826630411
3.464	-0.0386666303797	-0.0373237921369	-0.00485461536321	-0.00952908025226	0.0204422621429	-0.0404491946023	0.0295620264516
3.468	-0.038778744068	-0.0374379499645	-0.00448684645868	-0.00913020488508	0.0204222466797	-0.0405556144294	0.0296141763878
3.472	-0.0388442693494	-0.0375046943942	-0.00426339787344	-0.00887876862774	0.0204096702293	-0.0406176165166	0.0296439593247
