datacolumns 8
datarows 175
time	gaslat_r	gasmed_r	perbrev_r	perlong_r	perter_r	sol_r	tibant_r
2.196	-0.0437679265447	-0.0424621702418	-0.00717973065667	-0.0110714667204	0.0275830600412	-0.0434718430069	0.0381227323534
2.2	-0.0436044669755	-0.0422908125437	-0.00732391965458	-0.0111695831196	0.0275780193156	-0.0433494602424	0.0378021772855
2.204	-0.043421552757	-0.0421000634704	-0.00747443495602	-0.0112710935139	0.0275589436679	-0.0432082350123	0.0374546855924
2.208	-0.0432219659592	-0.041892973814	-0.00762742303546	-0.0113729745548	0.0275265886437	-0.043049368758	0.0370873309612
2.212	-0.043010374208	-0.0416744675163	-0.00777844748945	-0.0114718870508	0.0274832120828	-0.042875873806	0.0367093690468
2.216	-0.0427928144979	-0.0414507801767	-0.00792315218659	-0.0115647332219	0.0274319895129	-0.0426923875584	0.0363309098886
2.22	-0.0425762548881	-0.0412290202083	-0.00805746045375	-0.0116487738515	0.0273772079959	-0.0425047173366	0.0359627369742
2.224	-0.04236887557	-0.0410174321403	-0.00817765427706	-0.0117218610978	0.0273228038508	-0.0423204555344	0.0356164048147
2.228	-0.0421782919495	-0.0408236289692	-0.00828098050921	-0.0117826215195	0.0272732103075	-0.042146981897	0.0353026798519
2.232	-0.0420113544158	-0.0406544012706	-0.00836561016466	-0.0118304384509	0.0272324150142	-0.0419913229427	0.0350312604365
2.236	-0.0418731849573	-0.0405147604216	-0.00843091446481	-0.0118655480868	0.0272032501192	-0.0418591908976	0.0348093568625
2.24	-0.0417675149855	-0.0404083083968	-0.00847699705222	-0.0118886566777	0.0271874373683	-0.0417551213419	0.0346423687216
2.244	-0.0416949481359	-0.0403355028265	-0.00850527884085	-0.011901160363	0.0271850363106	-0.0416806895941	0.0345309226285
2.248	-0.0416547243769	-0.0402954520813	-0.00851752229047	-0.0119045556093	0.0271948775351	-0.0416360998945	0.0344735100569
2.252	-0.0416442795251	-0.0402854656784	-0.00851607927255	-0.0119005953984	0.0272142289297	-0.0416198136157	0.0344654297898
2.256	-0.0416592743633	-0.0403011212409	-0.00850344560006	-0.0118908270925	0.0272405978434	-0.0416281131204	0.0344993515245
2.26	-0.041701121474	-0.040343997309	-0.00847731153291	-0.0118731532339	0.0272801261042	-0.0416606833134	0.0345803662423
2.264	-0.0417628489058	-0.0404070101064	-0.00844140521997	-0.0118499003057	0.0273271230729	-0.0417116323917	0.0346958171969
2.268	-0.0418161092286	-0.0404604843164	-0.00842043949503	-0.0118403433991	0.0273296820722	-0.0417658289173	0.0347787993223
2.272	-0.0418702758356	-0.040514439551	-0.00840378869995	-0.0118356823224	0.0273127302114	-0.0418260472117	0.0348540473144
2.276	-0.0419343833174	-0.0405785477468	-0.008381154191	-0.0118273241136	0.0273000646062	-0.0418948843523	0.0349460092413
2.28	-0.0419961589887	-0.0406400185149	-0.00836243812702	-0.0118229076471	0.0272718069679	-0.041965206597	0.035026664358
2.284	-0.0420512328407	-0.0406943624129	-0.00835029463023	-0.0118243721091	0.0272235231312	-0.042033849092	0.0350872133436
2.288	-0.0420964435113	-0.0407383751455	-0.0083460743535	-0.0118326100226	0.0271537471177	-0.0420981349759	0.0351224008632
2.292	-0.0421287639004	-0.0407689917798	-0.00835098452576	-0.0118484563827	0.027060961659	-0.0421555849939	0.0351276097017
2.296	-0.0421461487512	-0.0407841868964	-0.00836524684181	-0.0118719809454	0.0269454378488	-0.0422042280585	0.0351010349844
2.3	-0.0421466818277	-0.0407820877633	-0.00838878763337	-0.0119030009872	0.0268079996337	-0.0422420600402	0.0350417885701
2.304	-0.0421299574843	-0.0407623901862	-0.00842041558495	-0.0119404934027	0.0266512510746	-0.0422680568226	0.0349522741018
2.308	-0.0420964261024	-0.0407256683135	-0.0084584553515	-0.0119830732532	0.0264785449375	-0.0422817968133	0.0348364351069
2.312	-0.0420484282913	-0.0406744275554	-0.00850024353419	-0.012028593836	0.0262952157088	-0.0422841505897	0.0347012941522
2.316	-0.0419895051606	-0.0406123679738	-0.00854286905609	-0.0120747488633	0.0261071289354	-0.0422770087976	0.0345549567914
2.32	-0.0419242653715	-0.0405442508311	-0.00858335861488	-0.012119063685	0.0259216399206	-0.042262908202	0.0344065049279
2.324	-0.041842497512	-0.040459830242	-0.00862807238071	-0.0121634767164	0.0257495960367	-0.0422288657294	0.0342460023254
2.328	-0.0417657884051	-0.0403809112478	-0.00866621559755	-0.012202124022	0.0255943173361	-0.0421952136525	0.0341017216657
2.332	-0.0417042332647	-0.0403176743202	-0.00869342266894	-0.0122322310946	0.0254612238618	-0.0421704712311	0.0339863867155
2.336	-0.0416641892626	-0.0402764977279	-0.00870748016763	-0.012252314935	0.025354177584	-0.0421598906012	0.0339071376943
2.34	-0.0416506851099	-0.040262416304	-0.00870677634297	-0.0122612954852	0.0252758895909	-0.0421676781954	0.0338692523279
2.344	-0.0416667715583	-0.0402784747478	-0.00869045830893	-0.0122586156381	0.0252273283084	-0.0421964846855	0.0338755206519
2.348	-0.0417135360236	-0.0403257518725	-0.00865830331674	-0.0122441538969	0.025207768744	-0.0422473909103	0.0339264910322
2.352	-0.0417899409387	-0.0404031985751	-0.00861075683559	-0.0122182633467	0.0252146602973	-0.0423197869107	0.0340202836469
2.356	-0.0418931781046	-0.0405079963198	-0.00854895587821	-0.0121816660141	0.0252448696043	-0.0424114168638	0.0341532838627
2.36	-0.0420142867171	-0.0406311058716	-0.00847826136892	-0.012137125283	0.0252974933164	-0.0425135666686	0.0343156557171
2.364	-0.0421470647118	-0.0407662762917	-0.00840197752822	-0.0120865906758	0.0253700969668	-0.0426207422735	0.034500681679
2.368	-0.0422930877523	-0.0409151464381	-0.00831733338725	-0.012029142467	0.025455899015	-0.0427358965326	0.034709507585
2.372	-0.0424472262909	-0.0410725531929	-0.00822658235764	-0.0119662664317	0.0255514351352	-0.042854788056	0.0349361439662
2.376	-0.0426050761958	-0.0412340579597	-0.0081316994631	-0.0118993007684	0.0256537838143	-0.0429738217999	0.0351754158519
2.38	-0.0427627705856	-0.0413957549522	-0.00803455846782	-0.0118295095334	0.0257607918016	-0.0430898227663	0.0354227877332
2.384	-0.0429170211066	-0.041554317419	-0.00793695041884	-0.0117580349521	0.0258715671289	-0.0431999577543	0.0356746654007
2.388	-0.0430656177606	-0.0417074957117	-0.00783986804243	-0.0116857301623	0.0259839764816	-0.0433027498561	0.0359279203492
2.392	-0.0432065268557	-0.0418532161918	-0.0077445253585	-0.0116134268485	0.0260976070156	-0.0433965540217	0.0361801216213
2.396	-0.04333862943	-0.0419903285574	-0.00765152278467	-0.0115416374156	0.0262117592186	-0.0434806536625	0.0364296450498
2.4	-0.0434611608413	-0.0421180318851	-0.00756127361271	-0.0114708087741	0.0263253944345	-0.043554759246	0.0366748939384
