datacolumns 2
datarows 175
time	R_hip_aa
2.196	-49.0528696998
2.2	-55.4885124461
2.204	-57.9827087079
2.208	-55.1376329389
2.212	-47.5847278103
2.216	-37.6453425718
2.22	-26.2679549094
2.224	-14.4245166349
2.228	-3.02899051924
2.232	7.12762565186
2.236	15.4220396126
2.24	21.4229689384
2.244	24.8974660887
2.248	25.8031302562
2.252	24.2702780319
2.256	20.5774888455
2.26	15.122814264
2.264	8.39293829895
2.268	0.928066442318
2.272	-6.71101539966
2.276	-13.9795315273
2.28	-18.4632019694
2.284	-22.2656072311
2.288	-24.210675577
2.292	-24.1382481072
2.296	-22.0473621474
2.3	-18.0984873072
2.304	-12.6021939333
2.308	-5.99884836626
2.312	1.16853712317
2.316	8.27483306583
2.32	14.7050555728
2.324	19.9765712356
2.328	23.7702031086
2.332	25.9193676146
2.336	26.4078922099
2.34	25.3397845348
2.344	22.8869803732
2.348	19.465106716
2.352	15.0854792688
2.356	9.93647987233
2.36	4.25391713881
2.364	-1.73469650935
2.368	-7.8110479261
2.372	-13.7734145471
2.376	-19.447764867
2.38	-24.6966533929
2.384	-29.43549842
2.388	-33.6298472455
2.392	-37.2864813482
2.396	-40.4379452721
2.4	-43.084220117
2.404	-45.2223626117
2.408	-46.8436045364
2.412	-47.9463400419
2.416	-48.5534977792
2.42	-48.7150998614
2.424	-48.5063702326
2.428	-48.0148187344
2.432	-47.3276190122
2.436	-46.5307646647
2.44	-45.6984841724
2.444	-44.8973575029
2.448	-44.1797630097
2.452	-43.5798190598
2.456	-43.1234074065
2.46	-42.8015049846
2.464	-42.5882636944
2.468	-42.4414949738
2.472	-42.3043588418
2.476	-42.1115081383
2.48	-41.7959248104
2.484	-41.2929026814
2.488	-40.5501367672
2.492	-39.5315416722
2.496	-38.2217763783
2.5	-36.6298995794
2.504	-34.7859639415
2.508	-32.7364319461
2.512	-30.5411649372
2.516	-28.2680493505
2.52	-25.9892203885
2.524	-23.765678495
2.528	-21.6490337903
2.532	-19.7228489921
2.536	-18.0340272776
2.54	-16.6174932133
2.544	-15.4954099567
2.548	-14.6764141605
2.552	-14.1592476473
2.556	-13.9349071746
2.56	-13.9910323498
2.564	-14.3171835403
2.568	-14.9052217506
2.572	-15.7518000626
2.576	-16.8571816473
2.58	-18.2259488805
2.584	-19.8646863477
2.588	-21.7784431715
2.592	-23.968388357
2.596	-26.4289120421
2.6	-29.1490231783
2.604	-32.1102270909
2.608	-35.2880362446
2.612	-38.650029241
2.616	-42.1583205937
2.62	-45.7706987718
2.624	-49.4410312967
2.628	-53.1246277165
2.632	-56.7774043455
2.636	-60.3606616739
2.64	-63.8434563042
2.644	-67.2048411086
2.648	-70.4343279309
2.652	-73.5320598026
2.656	-76.5092604039
2.66	-79.3870093189
2.664	-82.1940202775
2.668	-84.96138698
2.672	-87.7157633536
2.676	-90.4811056493
2.68	-93.2717815605
2.684	-96.0918359384
2.688	-98.9365901321
2.692	-101.789685092
2.696	-104.624524294
2.7	-107.410644972
2.704	-110.111324083
2.708	-112.686423616
2.712	-115.035191952
2.716	-117.302533722
2.72	-119.325874096
2.724	-121.060773086
2.728	-122.465709729
2.732	-123.490891323
2.736	-124.081906178
2.74	-124.175090155
2.744	-123.696976129
2.748	-122.560520579
2.752	-120.673626975
2.756	-117.93586714
2.76	-114.319080639
2.764	-109.607890423
2.768	-103.702325123
2.772	-96.6278097819
2.776	-88.3945480253
2.78	-79.0717532231
2.784	-68.7947164251
2.788	-57.7621596489
2.792	-46.236538952
2.796	-34.5302524892
2.8	-23.231489964
2.804	-12.8372817624
2.808	-3.47571590308
2.812	4.57363397936
2.816	11.1001753843
2.82	15.9565532993
2.824	19.0732961255
2.828	20.4779485546
2.832	20.2671225838
2.836	22.5598629796
2.84	18.2326389827
2.844	13.3995055511
2.848	8.39948865807
2.852	3.44783141401
2.856	-1.37505112196
2.86	-5.85838813288
2.864	-9.81478643951
2.868	-13.0841905613
2.872	-15.5349976006
2.876	-17.0632094899
2.88	-17.590694931
2.884	-17.0637085136
2.888	-15.4527690517
2.892	-12.7548230085
